reg_san,marca,den_gen,titular,principio,indicacion,busqueda
213m2011 ssa,mimpara,cinacalcet,amgen inc.,h05bx01  cinacalcet,para el tratamiento de hiperparatiroidismo y los trastornos del metabolismo del calcio.,mimpara
143300el870048,kyprolis,carfilzomib,,,"en combinación con dexametasona o con lenalidomida más dexametasona para el tratamiento de pacientes con  mieloma múltiple en recaída o refractario que han recibido de una a tres líneas de terapia. como agente único para el tratamiento de pacientes con mieloma múltiple en recaída o refractario, y que hayan recibido una o más líneas d",kyprolis
314m2016 ssa,myrbetric,mirabegron,,g04bd12 mirabegron,para el tratamiento sintomático del síndrome de vejiga hiperactiv,myrbetric
314m2016 ssa,myrbetric,mirabegron,,g04bd12 mirabegron,para el tratamiento sintomático del síndrome de vejiga hiperactiv,myrbetric
216m2011 ssa,brilinta,ticagrelor,"astrazeneca, s.a. de c.v.","b01ac99  otros principios activos.  inhibidores de la agregación plaquetaria, excl. heparina",antiagregante plaquetario. para la prevención de eventos trombótico,brilinta
216m2011 ssa,brilinta,ticagrelor,"astrazeneca, s.a. de c.v.","b01ac99  otros principios activos.  inhibidores de la agregación plaquetaria, excl. heparina",antiagregante plaquetario. para la prevención de eventos trombótico,brilinta
047m2013 ssa,bydureon,exenatida,"astrazeneca, s. a. de c. v.",a10bx04  exenatida.,diabetes mellitus tipo 2.,bydureon
113300el870026,caprelsa,vandetanib,"sanofi aventis de mexico, s.a. de c.v.",,tratamiento del cáncer medular de tiroides (cmt) agresivo y sintomático en pacientes con enfermedad no resecable localmente avanzada o metastási,caprelsa
113300el870026,caprelsa,vandetanib,"sanofi aventis de mexico, s.a. de c.v.",,tratamiento del cáncer medular de tiroides (cmt) agresivo y sintomático en pacientes con enfermedad no resecable localmente avanzada o metastási,caprelsa
156m2013 ssa,eklira genuair,bromuro de aclidinio,"astrazeneca, s.a. de c.v.",r03bb05 bromuro de aclidinio,para el tratamiento de la enfermedad pulmonar obstructiva (epoc) de moderada a severa. como terapia de mantenimiento para la epoc (incluidas la bronquitis crónica y enfisema),eklira
197m2005 ssa,faslodex,fulvestrant,"astrazeneca, s. a. de c. v.",l02ba03  fulvestran,tratamiento del cáncer de mama,faslodex
049m2013 ssa,forxiga,dapagliflozina,"astrazeneca, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,"para el tratamiento de la diabetes mellitus tipo 2. para reducir el riesgo de hospitalización por insuficiencia cardiaca en adultos con diabetes mellitus tipo 2 y enfermedad cardiovascular establecida o múltiples factores de riesgo cardiovascular, para el tratamiento de insuficiencia cardiaca con fracción de  eyección reducida. está indicado para la prevención del deterioro de nefropatía en pacientes con diabetes mellitus tipo 2. indicado en adultos para el tratamiento de enfermedad renal c",forxiga
049m2013 ssa,forxiga,dapagliflozina,"astrazeneca, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,"para el tratamiento de la diabetes mellitus tipo 2. para reducir el riesgo de hospitalización por insuficiencia cardiaca en adultos con diabetes mellitus tipo 2 y enfermedad cardiovascular establecida o múltiples factores de riesgo cardiovascular, para el tratamiento de insuficiencia cardiaca con fracción de  eyección reducida. está indicado para la prevención del deterioro de nefropatía en pacientes con diabetes mellitus tipo 2. indicado en adultos para el tratamiento de enfermedad renal c",forxiga
458m2003 ssa,iressa,gefitinib,"astrazeneca, s. a. de c. v.",l01xe02  gefitinib,"cáncer de pulmón de células no pequeñas localmente avanzado o metastásico, con mutaciones activadoras de tirosin cinasa del ",iressa
138m2012 ssa,kombiglyze xr,metformina / saxagliptina,,,,kombiglyze xr
138m2012 ssa,kombiglyze xr,metformina / saxagliptina,,,,kombiglyze xr
138m2012 ssa,kombiglyze xr,metformina / saxagliptina,,,,kombiglyze xr
138m2012 ssa,kombiglyze xr,metformina / saxagliptina,,,,kombiglyze xr
122m2019 ssa,lynparza,olaparib,"astrazeneca, s.a. de c.v.",,"está indicado como monoterapia para el tratamiento de mantenimiento de mujeres adultas con cáncer epitelial de ovario de alto grado, trompa de falopio o cáncer primario de peritoneo, recurrente, sensible a platino con respuesta objetiva (respuesta completa o respuesta parcial) al último esquema de quimioterapia basado en platino.está indicado como monoterapia para el tratamiento de pacientes adultas con cáncer de mama metastásico her2 negativo con mutación brca de línea germinal, quienes han sido tratadas previamente con quimi",lynparza
518m2003 ssa,nexium iv,esomeprazol,"astrazeneca, s. a. de c. v.",a02bc05  esomeprazol.,tratamiento de la úlcera péptica gástrica y duodenal. mantenimiento a corto plazo de la hemostasia y prevención de re-sangrado en pacientes sometidos a endoscopía terapéutica por úlceras gástricas y duodenales sangrantes,nexium
158m2008 ssa,nexium,esomeprazol,"astrazeneca, s.a. de c.v.",a02bc05  esomeprazol.,para el tratamiento de la úlcera péptica gástrica y duodenal. tratamiento del reflujo gastroesofágico. coadyuvante en la erradicación del helicobacter pylori. tratamiento de síntomas gastrointestinales asociados a la terapia con medicamentos ,nexium
106m2001 ssa,nexium-mups,esomeprazol,"astrazeneca, s. a. de c. v.",a02bc05  esomeprazol.,síndrome de zollinger-ellison e hipersecreción idiopática. para el tratamiento de la úlcera péptica gástrica y duodenal.tratamiento de síntomas gastrointestinales asociados a la terapia con medicamentos aines. curación de úlceras gástricas asociadas a la terapia con medicamentos. prevención en pacientes con riesgo elevado de úlceras gástricas ,nexium
518m2003 ssa,nexium iv,esomeprazol,"astrazeneca, s. a. de c. v.",a02bc05  esomeprazol.,tratamiento de la úlcera péptica gástrica y duodenal. mantenimiento a corto plazo de la hemostasia y prevención de re-sangrado en pacientes sometidos a endoscopía terapéutica por úlceras gástricas y duodenales sangrantes,nexium
158m2008 ssa,nexium,esomeprazol,"astrazeneca, s.a. de c.v.",a02bc05  esomeprazol.,para el tratamiento de la úlcera péptica gástrica y duodenal. tratamiento del reflujo gastroesofágico. coadyuvante en la erradicación del helicobacter pylori. tratamiento de síntomas gastrointestinales asociados a la terapia con medicamentos ,nexium
106m2001 ssa,nexium-mups,esomeprazol,"astrazeneca, s. a. de c. v.",a02bc05  esomeprazol.,síndrome de zollinger-ellison e hipersecreción idiopática. para el tratamiento de la úlcera péptica gástrica y duodenal.tratamiento de síntomas gastrointestinales asociados a la terapia con medicamentos aines. curación de úlceras gástricas asociadas a la terapia con medicamentos. prevención en pacientes con riesgo elevado de úlceras gástricas ,nexium
106m2001 ssa,nexium-mups,esomeprazol,"astrazeneca, s. a. de c. v.",a02bc05  esomeprazol.,síndrome de zollinger-ellison e hipersecreción idiopática. para el tratamiento de la úlcera péptica gástrica y duodenal.tratamiento de síntomas gastrointestinales asociados a la terapia con medicamentos aines. curación de úlceras gástricas asociadas a la terapia con medicamentos. prevención en pacientes con riesgo elevado de úlceras gástricas ,nexium-mups
106m2001 ssa,nexium-mups,esomeprazol,"astrazeneca, s. a. de c. v.",a02bc05  esomeprazol.,síndrome de zollinger-ellison e hipersecreción idiopática. para el tratamiento de la úlcera péptica gástrica y duodenal.tratamiento de síntomas gastrointestinales asociados a la terapia con medicamentos aines. curación de úlceras gástricas asociadas a la terapia con medicamentos. prevención en pacientes con riesgo elevado de úlceras gástricas ,nexium-mups
106m2001 ssa,nexium-mups,esomeprazol,"astrazeneca, s. a. de c. v.",a02bc05  esomeprazol.,síndrome de zollinger-ellison e hipersecreción idiopática. para el tratamiento de la úlcera péptica gástrica y duodenal.tratamiento de síntomas gastrointestinales asociados a la terapia con medicamentos aines. curación de úlceras gástricas asociadas a la terapia con medicamentos. prevención en pacientes con riesgo elevado de úlceras gástricas ,nexium-mups
221m2009 ssa,onglyza,saxagliptina,"astrazeneca, s.a. de c.v.",a10bh99  otros principios activos.  inhibidores de la dpp-4 (4 dipeptidil peptidasa).,para el tratamiento de la diabetes mellitus tipo 2.,onglyza
221m2009 ssa,onglyza,saxagliptina,"astrazeneca, s.a. de c.v.",a10bh99  otros principios activos.  inhibidores de la dpp-4 (4 dipeptidil peptidasa).,para el tratamiento de la diabetes mellitus tipo 2.,onglyza
221m2009 ssa,onglyza,saxagliptina,"astrazeneca, s.a. de c.v.",a10bh99  otros principios activos.  inhibidores de la dpp-4 (4 dipeptidil peptidasa).,para el tratamiento de la diabetes mellitus tipo 2.,onglyza
047m2014 ssa,zinforo,ceftarolina fosamilo,"pfizer, s.a. de c.v.12",j01da01   cefalosporinas y sustancias relacionadas.,antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes sensible,zinforo
590m98 ssa,avelox,moxifloxacino,"bayer de mexico, s.a. de c.v.",j01ma14 monofloxacina,antimicrobiano (quinolona) para infecciones ocasionadas por gérmenes sensibles,avelox
174m2001 ssa,avelox,moxifloxacino,"bayer de méxico, s.a. de c.v",s01ax22  moxifloxacino,antimicrobiano (quinolona) para infecciones ocasionadas por gérmenes sensibles,avelox
590m98 ssa,avelox,moxifloxacino,"bayer de mexico, s.a. de c.v.",j01ma14 monofloxacina,antimicrobiano (quinolona) para infecciones ocasionadas por gérmenes sensibles,avelox
174m2001 ssa,avelox,moxifloxacino,"bayer de méxico, s.a. de c.v",s01ax22  moxifloxacino,antimicrobiano (quinolona) para infecciones ocasionadas por gérmenes sensibles,avelox
214m2002 ssa,levitra,vardenafil,bayer de mexico s.a. de c.v.,g04be09  vardenafilo,disfunción erécti,levitra
214m2002 ssa,levitra,vardenafil,bayer de mexico s.a. de c.v.,g04be09  vardenafilo,disfunción erécti,levitra
214m2002 ssa,levitra,vardenafil,bayer de mexico s.a. de c.v.,g04be09  vardenafilo,disfunción erécti,levitra
214m2002 ssa,levitra,vardenafil,bayer de mexico s.a. de c.v.,g04be09  vardenafilo,disfunción erécti,levitra
082m2006 ssa,nexavar,sorafenib,"bayer de mexico, s.a. de c.v.",l01xe05  sorafenib,para el tratamiento del cáncer renal. tratamiento de carcinoma hepatocelular. tratamiento de pacientes con carcinoma de tiroides diferenciado localmente avanzado o metastásico refractario a yodo radioactiv,nexavar
357m2008 ssa,xarelto,rivaroxabá,bayer de mexico s.a. de c.v.,,antitrombotico,xarelto
017m2023 ssa,xarelto,rivaroxabá,"bayer de mexico, s.a. de c.v.",b01af01 rivaroxaban,"antitrombótico.  indicado para el tratamiento de tromboembolismo venoso (tev) y la prevención de la recurrencia del tev en recién nacidos a término, lactantes y niños pequeños, niños y adolescentes menores de 18 años después de al menos 5 días de tratamiento inicial con anticoagulación ",xarelto
357m2008 ssa,xarelto,rivaroxabá,bayer de mexico s.a. de c.v.,,antitrombotico,xarelto
017m2023 ssa,xarelto,rivaroxabá,"bayer de mexico, s.a. de c.v.",b01af01 rivaroxaban,"antitrombótico.  indicado para el tratamiento de tromboembolismo venoso (tev) y la prevención de la recurrencia del tev en recién nacidos a término, lactantes y niños pequeños, niños y adolescentes menores de 18 años después de al menos 5 días de tratamiento inicial con anticoagulación ",xarelto
357m2008 ssa,xarelto,rivaroxabá,bayer de mexico s.a. de c.v.,,antitrombotico,xarelto
017m2023 ssa,xarelto,rivaroxabá,"bayer de mexico, s.a. de c.v.",b01af01 rivaroxaban,"antitrombótico.  indicado para el tratamiento de tromboembolismo venoso (tev) y la prevención de la recurrencia del tev en recién nacidos a término, lactantes y niños pequeños, niños y adolescentes menores de 18 años después de al menos 5 días de tratamiento inicial con anticoagulación ",xarelto
357m2008 ssa,xarelto,rivaroxabá,bayer de mexico s.a. de c.v.,,antitrombotico,xarelto
017m2023 ssa,xarelto,rivaroxabá,"bayer de mexico, s.a. de c.v.",b01af01 rivaroxaban,"antitrombótico.  indicado para el tratamiento de tromboembolismo venoso (tev) y la prevención de la recurrencia del tev en recién nacidos a término, lactantes y niños pequeños, niños y adolescentes menores de 18 años después de al menos 5 días de tratamiento inicial con anticoagulación ",xarelto
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz
212m2014 ssa,jardianz,empagliflozina,"boehringer ingelheim promeco, s.a. de c.v.",a10bk03 empaglifozina,"tratamiento de la diabetes mellitus tipo 2 en combinación con dieta y ejercicio, ya sea como monoterapia o como tratamiento complementario adicionado a otros tratamientos antidiabéticos orales o insulina.indicado en pacientes con diabetes mellitus tipo 2 y alto riesgo cardiovascular para reducir el riesgo de mortalidad por todas las causas mediante la reducción de la muerte cardiovascular y muerte cardiovascular u hospitalización por insuficiencia card�",jardianz
512m2016 ssa,jardianz dpp,empagliflozina / linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,tratamiento complementario de un régimen de dieta y ejercicio físico para mejorar el control glucémico en los adultos con diabetes mellitus tipo,jardianz
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz
212m2014 ssa,jardianz,empagliflozina,"boehringer ingelheim promeco, s.a. de c.v.",a10bk03 empaglifozina,"tratamiento de la diabetes mellitus tipo 2 en combinación con dieta y ejercicio, ya sea como monoterapia o como tratamiento complementario adicionado a otros tratamientos antidiabéticos orales o insulina.indicado en pacientes con diabetes mellitus tipo 2 y alto riesgo cardiovascular para reducir el riesgo de mortalidad por todas las causas mediante la reducción de la muerte cardiovascular y muerte cardiovascular u hospitalización por insuficiencia card�",jardianz
512m2016 ssa,jardianz dpp,empagliflozina / linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,tratamiento complementario de un régimen de dieta y ejercicio físico para mejorar el control glucémico en los adultos con diabetes mellitus tipo,jardianz
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz
212m2014 ssa,jardianz,empagliflozina,"boehringer ingelheim promeco, s.a. de c.v.",a10bk03 empaglifozina,"tratamiento de la diabetes mellitus tipo 2 en combinación con dieta y ejercicio, ya sea como monoterapia o como tratamiento complementario adicionado a otros tratamientos antidiabéticos orales o insulina.indicado en pacientes con diabetes mellitus tipo 2 y alto riesgo cardiovascular para reducir el riesgo de mortalidad por todas las causas mediante la reducción de la muerte cardiovascular y muerte cardiovascular u hospitalización por insuficiencia card�",jardianz
512m2016 ssa,jardianz dpp,empagliflozina / linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,tratamiento complementario de un régimen de dieta y ejercicio físico para mejorar el control glucémico en los adultos con diabetes mellitus tipo,jardianz
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz
212m2014 ssa,jardianz,empagliflozina,"boehringer ingelheim promeco, s.a. de c.v.",a10bk03 empaglifozina,"tratamiento de la diabetes mellitus tipo 2 en combinación con dieta y ejercicio, ya sea como monoterapia o como tratamiento complementario adicionado a otros tratamientos antidiabéticos orales o insulina.indicado en pacientes con diabetes mellitus tipo 2 y alto riesgo cardiovascular para reducir el riesgo de mortalidad por todas las causas mediante la reducción de la muerte cardiovascular y muerte cardiovascular u hospitalización por insuficiencia card�",jardianz
512m2016 ssa,jardianz dpp,empagliflozina / linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,tratamiento complementario de un régimen de dieta y ejercicio físico para mejorar el control glucémico en los adultos con diabetes mellitus tipo,jardianz
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz duo
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz duo
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz duo
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz duo
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz duo
432m2015 ssa,jardianz duo,empagliflozina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bd99  otros principios activos. combinaciones de drogas hipoglucemiantes orales.,tratamiento para mejorar el control glucémico en pacientes adultos con diabetes mellitus tipo 2 y alto riesgo cardiovascular,jardianz duo
512m2016 ssa,jardianz dpp,empagliflozina / linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,tratamiento complementario de un régimen de dieta y ejercicio físico para mejorar el control glucémico en los adultos con diabetes mellitus tipo,jardianz dpp
512m2016 ssa,jardianz dpp,empagliflozina / linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,tratamiento complementario de un régimen de dieta y ejercicio físico para mejorar el control glucémico en los adultos con diabetes mellitus tipo,jardianz dpp
115m2022 ssa,ofev,nintedanib,"boehringer ingelheim promeco, s.a. de c.v.",,"tratamiento en adultos de fibrosis pulmonar idiopática, otras enfermedades intersticiales crónicas fibrosantes con fenotipo progresivo y enfermedad pulmonar intersticial asociada a esclerosis sistémi",ofev
115m2022 ssa,ofev,nintedanib,"boehringer ingelheim promeco, s.a. de c.v.",,"tratamiento en adultos de fibrosis pulmonar idiopática, otras enfermedades intersticiales crónicas fibrosantes con fenotipo progresivo y enfermedad pulmonar intersticial asociada a esclerosis sistémi",ofev
358m2008 ssa,pradaxar,dabigatrá,"boehringer ingelheim promeco, s.a. de c.v.",,"prevención de eventos tromboembólicos venosos (evt) en pacientes que han sido sometidos a cirugía ortopédica mayor. prevención de evento vascular cerebral (evc), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular. tratamiento de trombosis venosa profunda (tvp) aguda y/o embolia pulmonar (ep) y prevención de muerte relacionada. prevención de trombosis venosa profunda recurrente y/o embolia pulmonar y prevención de muerte r",pradaxar
358m2008 ssa,pradaxar,dabigatrá,"boehringer ingelheim promeco, s.a. de c.v.",,"prevención de eventos tromboembólicos venosos (evt) en pacientes que han sido sometidos a cirugía ortopédica mayor. prevención de evento vascular cerebral (evc), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular. tratamiento de trombosis venosa profunda (tvp) aguda y/o embolia pulmonar (ep) y prevención de muerte relacionada. prevención de trombosis venosa profunda recurrente y/o embolia pulmonar y prevención de muerte r",pradaxar
358m2008 ssa,pradaxar,dabigatrá,"boehringer ingelheim promeco, s.a. de c.v.",,"prevención de eventos tromboembólicos venosos (evt) en pacientes que han sido sometidos a cirugía ortopédica mayor. prevención de evento vascular cerebral (evc), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular. tratamiento de trombosis venosa profunda (tvp) aguda y/o embolia pulmonar (ep) y prevención de muerte relacionada. prevención de trombosis venosa profunda recurrente y/o embolia pulmonar y prevención de muerte r",pradaxar
358m2008 ssa,pradaxar,dabigatrá,"boehringer ingelheim promeco, s.a. de c.v.",,"prevención de eventos tromboembólicos venosos (evt) en pacientes que han sido sometidos a cirugía ortopédica mayor. prevención de evento vascular cerebral (evc), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular. tratamiento de trombosis venosa profunda (tvp) aguda y/o embolia pulmonar (ep) y prevención de muerte relacionada. prevención de trombosis venosa profunda recurrente y/o embolia pulmonar y prevención de muerte r",pradaxar
358m2008 ssa,pradaxar,dabigatrá,"boehringer ingelheim promeco, s.a. de c.v.",,"prevención de eventos tromboembólicos venosos (evt) en pacientes que han sido sometidos a cirugía ortopédica mayor. prevención de evento vascular cerebral (evc), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular. tratamiento de trombosis venosa profunda (tvp) aguda y/o embolia pulmonar (ep) y prevención de muerte relacionada. prevención de trombosis venosa profunda recurrente y/o embolia pulmonar y prevención de muerte r",pradaxar
358m2008 ssa,pradaxar,dabigatrá,"boehringer ingelheim promeco, s.a. de c.v.",,"prevención de eventos tromboembólicos venosos (evt) en pacientes que han sido sometidos a cirugía ortopédica mayor. prevención de evento vascular cerebral (evc), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular. tratamiento de trombosis venosa profunda (tvp) aguda y/o embolia pulmonar (ep) y prevención de muerte relacionada. prevención de trombosis venosa profunda recurrente y/o embolia pulmonar y prevención de muerte r",pradaxar
358m2008 ssa,pradaxar,dabigatrá,"boehringer ingelheim promeco, s.a. de c.v.",,"prevención de eventos tromboembólicos venosos (evt) en pacientes que han sido sometidos a cirugía ortopédica mayor. prevención de evento vascular cerebral (evc), embolismo sistémico y reducción de mortalidad vascular en pacientes con fibrilación auricular. tratamiento de trombosis venosa profunda (tvp) aguda y/o embolia pulmonar (ep) y prevención de muerte relacionada. prevención de trombosis venosa profunda recurrente y/o embolia pulmonar y prevención de muerte r",pradaxar
013m2017 ssa,praxbind,idarucizumab,"boehringer ingelheim promeco, s.a. de c.v.",v03ab37 idarucizumab,praxbind es un agente específico de reversión para el dabigatrán y está indicado en pacientes tratados con pradaxar cuando se requiere la reversión rápida de los efectos anticoagulantes dabigatrán:- para cirugía de emergencia/procedimientos urgentes.- en sangrado amenazante para la vida o no con,praxbind
012m2016 ssa,spiolto,tiotropio / olodaterol,"boehringer ingelheim promeco, s.a. de c.v.",,"indicado para el tratamiento de mantenimiento prolongado, administrado una vez al día en pacientes con epoc (la cual comprende bronquitis crónica y enfisema) para reducir la obstrucción de las vías aéreas, mejorar la calidad de vida, reducir la disnea asociada y aumentar la tolerancia al ejercicio físico y reducir las exacerbac",spiolto
159m2011 ssa,trayenta,linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,diabetes mellitus tipo ii.,trayenta
118m2012 ssa,trayenta duo,linagliptina / metformina,"boehringer ingelheim promeco, s.a. de c.v.",a10bx99  otros principios activos. otras drogas hipoglucemiantes orales.,para el tratamiento de la diabetes mellitus tipo 2.,trayenta
159m2011 ssa,trayenta,linagliptina,"boehringer ingelheim promeco, s.a. de c.v.",,diabetes mellitus tipo ii.,trayenta
