num,farmaco,forma,concen,fraccion,den_dist,registro,titular,indicacion
20,acido acetilsalicilico,tableta(efervescente),500 mg,vi,aspirina,88864 ssa,"bayer de mexico, s.a. de c.v.","analgesico antipiretico, antiinflamatorio y antiagreganteplaquetario."
21,acido acetilsalicilico,tableta,100 mg,vi,aspirina junior,51530 ssa,"bayer de mexico, s.a. de c.v.","analgesico, antipiretico."
22,acido acetilsalicilico,tableta(liberacion retardada),100 mg,iv,aspirina protect,131m97 ssa,"bayer de mexico, s.a. de c.v.","para la prevencion de infarto miocardico agudo, enfermedadvascular cerebral y angina de pecho. prevencion detrombocitopenia postquirurgica, profilaxis de trombosisvenosa profunda y tromboembolia pulmonar."
23,acido acetilsalicilico,tableta,500 mg,vi,aspirina,57607 ssa,"bayer de mexico, s.a. de c.v.","analgesico, antipiretico y antiinflamatorio."
24,acido acetilsalicilico,capsula,500 mg,vi,asa 500,75094 ssa,"laboratorios liomont, s.a. de c.v.","analgesico, antipiretico."
25,acido acetilsalicilico,granulado,"100 mg,   160 mg    y300 mg",iv,coraspir,84229 ssa,"armstrong laboratorios de mexico,s.a. de c.v.","analgesico, antipiretico, antiespasmodico.antiagregante plaquetario profilactico en la enfermedadvascular de origen trombotico."
26,acido acetilsalicilico / acidocitrico / acido tartarico /bicarbonato de sodio,polvo,0.5 g / 1.9485 g /0.2165 g /2.485 g,vi,picot plus,421m98 ssa,"rb salute mexico, s.a de c.v.",para el alivio temporal de las molestias gastricas y la cefaleaposterior a la excesiva ingestion de alimentos y bebidas
27,acido acetilsalicilico /cafeina (anhidra),tableta,500 mg / 30 mg,vi,cafiaspirina,1416 ssa,"bayer de mexico, s.a. de c.v.","analgesico, antipiretico."
28,acido acetilsalicilico /cafeina,tableta,650 mg / 65 mg,vi,cafiaspirina forte,90259 ssa,"bayer de mexico, s.a. de c.v.","auxiliar en el tratamiento sintomatico del resfriado comun,analgesico y antipiretico."
29,acido acetilsalicilico /bicarbonato de sodio / acidocitrico,tableta(efervescente),0.324 g/1.976 g/1.0 gy0.325 g /1.7 g / 1.0 g,v  i,alka-seltzer,17518 ssa,"bayer de mexico, s.a. de c.v.","analgesico, antipiretico, antiacido"
30,"acido acetilsalicilico /fenilefrina, bitartrato de/clorfenamina, maleato de",tableta(efervescente),324mg / 8mg / 2mg;5  0  0  m  g   /  8  m   g   / 2  m   gy338mg / 7.8mg / 2mg,vi,tabcin,0119m80 ssa,"bayer de mexico, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
31,acido acetilsalicilico /captopril,tableta,40 mg / 25 mg,iv,captral asa,562m2005 ssa,"laboratorios silanes, s.a. de c.v.",antihipertensivo (inhibidor de e.c.a.)
32,acido acetilsalicilico /dipiridamol,capsula(liberacion prolongada),25 mg / 200 mg,iv,aggrenox,523m2001 ssa,"boehringer ingelheim promeco,s.a. de c.v.","anticoagulante, prevencion del evento vascular cerebral"
33,"acido acetilsalicilico/cafeina/ ergotamina, tartratode",tableta,400 mg/50 mg/1.00 mg,ii,sydolil,47188 ssa,"siegfried rhein, s.a. de c.v.",antimigranoso
34,acido acetilsalicilico /metocarbamol,tableta,325 mg / 400 mg,vi,remisol pls,538m97 ssa,"degort's chemical, s.a. de c.v.","relajante muscular, analgesico, antipiretico."
35,acido acetilsalicilico /paracetamol / cafeina,tableta,250 mg / 250 mg /65 mg,vi,excedrin,273m98 ssa,"glaxosmithkline consumer healthcaremexico, s. de r.l. de c.v.","migrana, alivia el dolor severo y dolores leves debido a:cefalea, refriado, artritis, dolores musculares, sinusitis, dolordental y colico menstrual."
36,acido acexamico (acexamato decalcio),granulado,4.740 g,iv,recoveron,82886 ssa,"armstrong laboratorios de mexico,s.a. de c.v.",coadyuvante en la terapia de osificacion de fracturas porosteoporosis e hipocalcemia.  auxiliar en el tratamiento decicatrizacion cutanea.
37,acido acexamico(acexamato de sodio),crema,5 g / 100 g,iv,recoveron c,219m93 ssa,"armstrong laboratorios de mexico,s.a. de c.v.",cicatrizante y regenerador tisular.
38,acido acexamico (acexamato desodio) / bromuro decetrimonio,crema,5 g / 1 g / 100 g,iv,dermatolona,380m96 ssa,"armstrong laboratorios de mexico,s.a. de c.v.",diversas dermatosis.
39,acido acexamico(acexamato de sodio),unguento,5 g / 100 g,iv,recoveron,81133 ssa,"armstrong laboratorios de mexico,s.a. de c.v.",cicatrizante dermico.
40,acido alendronico,comprimido,70 mg,iv,fosamax,279m94 ssa,"schering-plough, s.a. de c.v.",tratamiento y prevencion de la osteoporosis en hombres ymujeres.
41,acido alendronico /colecalciferol,comprimido,70 mg / 2800 ui       y70mg / 5600 ui,iv,fosamax plus,094m2005 ssa,"schering-plough, s.a. de c.v.",tratamiento y prevencion de la osteoporosis en hombres ymujeres.
42,acido ascorbico,tableta,250 mg,iv,femiprim,039m2006 ssa,"armstrong laboratorios de mexico,s.a. de c.v.",restaurador de la flora vaginal.
43,acido ascorbico,tableta(efervescente),1000 mg,vi,redoxon,62535 ssa,"bayer de mexico, s.a. de c.v.","para el tratamiento y prevencion de las deficiencias de lavitamina c. contribuye al funcionamiento del sistema inmune,prevencion y tratamiento de la gripe y resfriado comun,auxiliar en la curacion y cicatrizacion de heridas, fracturas yquemaduras, promueve la absorcion intestinal de hierro,participa en la defensa antioxidante del organismo."
44,acido ascorbico,comprimido(efervescente),2 g,iv,redoxon forte,65617 ssa,"bayer de mexico, s.a. de c.v.","deficiencia de la vitamina c, escorbuto y prevencion de lasmolestias del resfriado."
45,acido ascorbico,solucion(inyectable),1 g / 10 ml,iv,redoxon,21401 ssa,"bayer de mexico, s.a. de c.v.",para deficiencia de la vitamina c
46,"acido ascorbico / metamizolsodico / bencilpenicilina,clemizol",suspension(inyectable),125 mg / 250 mg /200 000 uy250 mg / 500 mg /300 000 u,iv,alivin plus,54045 ssa,"laboratorios grossman, s.a.",antibiotico (betalactamico) para infecciones ocasionadas porgermenes sensibles.
47,"acido ascorbico /clorfenamina, maleato de /fenilefrina, bitartrato de /paracetamol",tableta(efervescente),3  0   m   g    /   1  mg / 3.89 mg /162 mg,vi,tabcin infantil,168m2003 ssa,"bayer de mexico, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
48,acido azelaico,gel,15 g / 100 g,iv,finacea,090m2011 ssa,leo pharma a/s,auxiliar para el tratamiento del acne vulgar y rosacea papulopostular.
49,acido borico / borax,solucion,2 g / 0.4 g / 100 ml,vi,lav ofteno,30609 ssa,"laboratorios sophia, s.a. de c.v.",antiseptico oftalmico
50,acido citrico / acidotartarico / bicarbonato desodio,polvo(efervescente),1  . 9  4  8  5    g   /  0  . 2  1  65 g /2.4850 g,vi,sal de uvas picot,394 ssa,"rb salute mexico, s.a de c.v.",antiacido.
51,acido clavulanico (clavulanatode potasio) / amoxicilina(trihidratada),tableta,125 mg / 875 mg,iv,augmentin 12 h,587m97 ssa,"glaxosmithkline mexico, s.a. de c.v.",antibiotico para infecciones ocasionadas por germenesproductores de betalactamasa.
52,acido clavulanico (clavulanatode potasio) / amoxicilina(trihidratada),suspension,28.5 mg/200 mg/5 mly57 mg/400 mg/5 ml,i v,augmentin 12 h,141m98 ssa,"glaxos wellcome, s.a.",antibiotico para infecciones ocasionadas por germenesproductores de betalactamasa.
53,acido clavulanico (clavulanatode potasio) / amoxicilina(trihidratada),tableta,125 mg / 500 mg,iv,augmentin,068m82 ssa,"glaxos wellcome, s.a.",antibiotico para infecciones ocasionadas por germenesproductores de betalactamasa.
54,acido clavulanico (clavulanatode potasio) / amoxicilina(trihidratada),suspension,42.9 mg / 600 mg /5 ml,iv,augmentin es 600,231m2003 ssa,"glaxo wellcome, s.a. de c.v.",antibiotico para infecciones ocasionadas por germenesproductores de betalactamasa.
55,acido clavulanico (clavulanatode potasio) / amoxicilina(trihidratada),suspension,(62.50 mg / 250 mg) /5 mly(31.25 mg / 125 mg) / 5ml,iv,augmentin,079m84 ssa,"glaxosmithkline mexico, s.a. de c.v.",antibiotico para infecciones ocasionadas por germenesproductores de betalactamasa.
56,acido folico,tableta,400 mcg,vi,a.f. valdecasas,045v2000 ssa,"laboratorios valdecasas, s. a.",para las deficiencias de acido folico
57,acido folico,tableta,"1 mg, 4 mg   y   5 mg",iv,a.f. valdecasas,82231 ssa,"laboratorios valdecasas, s.a.",antianemico y en mujeres de edad reproductiva para preveniro disminuir el riesgo de productos con alteraciones de laformacion del tubo neural como espina bifida o meningocele
58,acido folico / fumaratoferroso,tableta,5 mg / 200 mg,iv,dialeli af,82125 ssa,"laboratorios valdecasas, s.a.","prevenir alteraciones en la formacion y cierre del tubo neuraldurante el embarazo, anemia hipocromica, hematopoyetico."
59,acido folico / sulfatoferroso anhidro,comprimido(liberacion prolongada),0.350 mg/80 mg,iv,tardyferon fol,001m2006 ssa,"productos farmaceuticos,s.a. de c.v.",antianemico.
60,acido fusidico,crema,2 g / 100 g,iv,fucidin,118m86 ssa,leo pharma a/s,"diversas dermatosis, antimicrobiano."
61,"acido fusidico, hemihidratado /betametasona, valerato de",crema,(20 mg / 1 mg) / 1 g,iv,fucicort,310m96 ssa,leo pharma a/s,"antiinflamatorio esteroideo de uso topico, antimicrobiano."
62,acido ibandronico (ibandronatomonosodico monohidratado),tableta,150 mg,iv,bonviva,020m2005 ssa,f. hoffmann - la roche ltd.,tratamiento y prevencion de la osteoporosis en mujerespostmenopausicas.
63,acido mefenamico,tableta,500 mg,iv,ponstan 500,556m79 ssa,"pfizer, s.a. de c.v.","analgesico. para el alivio sintomatico de artritis reumatoide(incluida enfermedad de still), osteoartritis, dolor de origenmuscular, traumatico y dental, cefalea, dolor postoperatorio,postparto, dismenorrea primaria, menorragia y sindromepremenstrual."
64,acido micofenolico(micofenolato sodico),tableta(liberacion retardada),180 mg y 360 mg,iv,myfortic,070m2003 ssa,novartis pharma ag,coadyuvante para la profilaxis del rechazo en el trasplanterenal.
65,acido micofenolico(micofenolato de mofetilo),comprimido,500 mg,iv,cellcept,292m98 ssa,f. hoffmann - la roche ltd.,"auxiliar en el trasplante hepatico, profilaxis de rechazo entrasplante renal, auxiliar en el trasplante de corazon."
66,acido nicotinico,tableta,100 mg y 500 mg,iv,hipocol,52608 ssa,"laboratorios valdecasas, s.a.",hipolipemiante.
67,acido tiaprofenico,comprimido,300 mg,iv,surgam 300,184m83 ssa,"sanofi-aventis de mexico, s.a. de c.v.",tratamiento de dolor e inflamacion.
68,acido tioctico,tableta,600 mg,iv,thioctacid 600 hr,594m2004 ssa,madaus gmbh,para el tratamiento de los sintomas asociados apolineuropatia diabetica periferica.
69,(acido undecilenico yundecilenato de zinc),suspension,19.06 g / 100 g,vi,desenex aerosol,344m90 ssa,"dinafarma, s.a. de c.v.",antimicotico de amplio espectro.
70,acido undecilenico /undecilenato de zinc /hidroxitetracloruro dealuminio zirconio glicina,crema,4 g / 10 g / 0.5 g,vi,micotex,39010 ssa,"genomma laboratories mexico, s.a. de c.v.",antimicotico de amplio espectro.
71,acido undecilenico /undecilinato de zinc /triclosan,aerosol,2.4 g / 20 g / 0.2 g /100 g,vi,ting,279m90 ssa,"dinafarma, s.a. de c.v.",antimicotico de amplio espectro.
72,(acido undecilenico yundecilinato de zinc) /triclosan,crema,3.78 g / 0.1 g / 100 g,vi,ting,280m90 ssa,"dinafarma, s.a. de c.v.",antimicotico de amplio espectro.
73,(acido undecilenico yundecilinato de zinc) /triclosan,polvo,6.26 g / 0.2 g / 100 g,vi,ting,272m90 ssa,"dinafarma, s.a. de c.v.",antimicotico de amplio espectro.
74,acido ursodeoxicolico,capsula,250 mg,iv,ursofalk,222m89 ssa,"schwabe mexico, s.a. de c.v.",para la disolucion de calculos biliares y del colesterol
75,acido ursodeoxicolico,tableta,500 mg,iv,ursofalk t500,167m2018 ssa,"schwabe mexico, s.a. de c.v.",para la disolucion de calculos biliares y del colesterol
76,acido valproico,capsula,250 mg,iv,depakene,0542m79 ssa,"abbott laboratories de mexico,s.a. de c.v.","tratamiento de la epilepsia en caso de crisis parciales,simples/complejas y/o generalizadas, crisis de ausencia,tonicas, clonicas y mioclonicas. tratamiento concomitante encrisis convulsivas de multiples tipos, crisis psicomotoras ysintomaticas."
77,acido valproico (valproato desodio),solucion(inyectable),500 mg / 5 ml,iv,depakene,514m99 ssa,"abbott laboratories de mexico,s.a. de c.v.",tratamiento de la epilepsia.
78,acido valproico (valproatosemisodico),tableta(liberacion prolongada),250 mg   y   500 mg,iv,epival er,487m2001 ssa,"abbott laboratories de mexico,s.a. de c.v.",tratamiento de la epilepsia; para el tratamiento de losepisodios maniacos asociados al trastorno bipolar y para laprofilaxis de la migrana.
79,acido valproico (valproato desodio),jarabe,5 g / 100 ml,iv,depakene,0543m79 ssa,"abbott laboratories de mexico,s.a. de c.v.",tratamiento de la epilepsia
80,acido valproico (valproatosemisodico),capsula(liberacion retardada),125 mg,iv,epival sprinkle,222m97 ssa,"abbott laboratories de mexico,s.a. de c.v.",epilepsia
81,acido valproico (valproatosemisodico),comprimido(liberacion retardada),250 mg   y   500 mg,iv,epival,082m87 ssa,"abbott laboratories de mexico,s.a. de c.v.",tratamiento de la epilepsia; para el tratamiento de losepisodios maniacos asociados al trastorno bipolar y para laprofilaxis de la migrana.
82,acido zoledronico(monohidratado),solucion(inyectable),4 mg / 5 ml,iv,zometa,559m2000 ssa,novartis pharma ag,"regulador del metabolismo oseo, inhibidor de resorcion osea,tratamiento de la hipercalcemia asociada a procesosneoplasicos; coadyuvante en la osteogenesis imperfecta enpacientes pediatricos."
83,acido zoledronico(monohidratado),solucion(inyectable),5 mg / 100 ml,iv,aclasta,051m2006 ssa,novartis pharma ag,"tratamiento y prevencion de la osteoporosis en hombres y enmujeres con o sin postmenopausia, tratamiento de laenfermedad osea de paget s."
84,"ademetionina, 1, 4-butandisulfatode",solucion(inyectable),500 mg / 5ml,iv,samyr,044m99 ssa,"abbott laboratories de mexico,s.a. de c.v.","tratamiento de la colestasis intrahepatica en las fasesp  r e   c i r r  o  t i c a     ( h  e  p  a  t i t i s  ,   e  s  teatohepatitis) y cirrotica (fibrosis,insuficiencia hepatica), asi como en la colestasis intrahepaticadel embarazo."
85,"ademetionina, 1, 4-butandisulfatode",tableta,500 mg,iv,samyr,147m99 ssa,"abbott laboratories de mexico,s.a. de c.v.","colestasis intrahepatica en estados precirroticos (insuficienciahepatica, hepatitis, esteatohepatitis, fibrosis) y cirroticos.colestasis intrahepatica de embarazo."
86,adenosina,solucion(inyectable),6 mg / 2 ml,iv,pisdeno,282m2005 ssa,"laboratorios pisa, s.a. de c.v.",vasodilatador coronario. antiarritmico.
87,albendazol,tableta,400 mg,vi,eskazole,134m92 ssa,"armstrong laboratorios de mexico,s.a. de c.v.","p  a  r a    e  l   t r  a  t a  m   i e  n  t o    d  e    l a  s    p  a  r a  s  i t o  s  i s    in  t e   s t i n  a  l e  s    c  o  mo:ascaris (lombrices), teniasis (solitaria), oxiuriasis,giardiasis, entre otras."
88,albendazol,suspension,4 g / 100 ml,vi,zentel,036m82 ssa,"grimann, s.a. de c.v.","antihelmintico, nematodos, cestodos, estrongiloidosis,teniasis."
89,albendazol,tableta,200 mg,vi,zentel,037m82 ssa,"grimann, s.a. de c.v.","nematodos, cestodos, estrongiloidosis, teniasis yantihelmintico."
90,albendazol / quinfamida,suspension,(400 mg /100 mg)/10 mly(400 mg/200 mg)/ 20 ml,v  i,oxal,431m2004 ssa,"dh farmaceutica, s.a. de c.v.","antiparasitario, antiamibiano intestinal."
91,albendazol / quinfamida,tableta,200 mg / 150 mg,vi,oxal,432m2004 ssa,"dh farmaceutica, s.a. de c.v.","antiparasitario, antiamibiano intestinal."
92,albendazol / quinfamida,tableta,400 mg / 300 mg,vi,loxcell nf,188m2013 ssa,"dinafarma, s.a. de c.v.",antiparasitario. antiamibiano intestinal.
93,alcaftadina,solucion,2.5 mg / ml,iv,lastacaft,141m2013 ssa,allergan produtos farmaceuticos ltda,prevencion del prurito asociado a conjuntivitis alergica.
94,"alfadihidroergocriptina,mesilato de",tableta,10 mg   y   20 mg,iv,diamin,202m96 ssa,"laboratorios grossman, s.a.","terapia de adicion en la enfermedad de parkinson, inhibicionde la lactancia hiperprolactinemia con amenorrea ygalactorrea."
95,alfuzosina,tableta(liberacion prolongada),10 mg,iv,xatral od,534m2000 ssa,"sanofi-aventis de mexico, s.a. de c.v.",tratamiento de la hipertrofia benigna de prostata.
96,aliskireno /hidroclorotiazida,comprimido,"150 mg / 12.5 mg,150 mg / 25 mg,300 mg / 12.5 mg      y300 mg / 25 mg",iv,rasilles htc,046m2009 ssa,novartis pharma ag,antihipertensivo.
97,almagato,suspension,13.3 g / 100 mly1.5 g / 15 ml,v   i,almax,417m2000 ssa,"industrias farmaceuticas almirall, s.a.","antiacido auxiliar en el tratamiento de ulcera duodenal,gastritis, dispepsia, hiperclorhidria, ulcera gastrica, esofagitis,hernia hiatal."
98,almagato,tableta(masticable),500 mg,vi,almax,078m2001 ssa,"industrias farmaceuticas almirall, s.a.","gastritis, dispepsia, hiperclorhidria, auxiliar en el tratamientode la ulcera duodenal, ulcera gastrica, esofagitis, herniahiatal."
99,alogliptina / pioglitazona,tableta,"25 mg / 15 mg, 25 mg /30 mg y 25 mg /45 mg",iv,incresina-p,077m2013,"eurofarma laboratorios, s.a.",tratamiento de la diabetes mellitus tipo 2
100,"aloina / atropina, sulfato de /diazepam / d-norpseudoefedrina,clorhidrato de / triyodotironinasodica",capsula(liberacion prolongada),1  6  . 2   m   g   /  0  . 3   6 0 mg /8 mg / 50 mg / 0.075 mg,ii,redotex,46314 ssa,"productos medix, s.a. de c.v.",anorexigenico.
101,"aloina / atropina, sulfato de /  dnorpseudoefedrina,clorhidrato de",capsula(liberacion prolongada),1  6  . 2   m   g  / 0  . 3   60 mg /50 mg,iii,redotex nf,135m87 ssa,"productos medix, s.a. de c.v.",anorexigenico.
102,alopurinol,tableta,100 mg y 300 mg,iv,zyloprim,86270 ssa,aspen pharma pty ltd,antihiperuricemico.
103,alprazolam,tableta,"0.25 mg,  0.5 mg,1 mg    y    2 mg",ii,tafil,259m80 ssa,"pfizer, s.a. de c.v.","ansiedad, depresion, trastorno del panico."
104,alprazolam,comprimido,0.5 mg,ii,neupax,206m2002 ssa,"armstrong laboratorios de mexico,s.a. de c.v.",ansiolitico.
105,alprazolam,solucion,0.75 mg / ml      y75 mg / 100 ml,ii,tafil,494m2002 ssa,"pfizer, s.a. de c.v.",ansiolitico.
106,alprostadil,solucion(inyectable),10 mcg   y   20 mcg,iv,caverject,332m95 ssa,"pfizer, s.a. de c.v.",disfuncion erectil
107,"aluminio, hidroxido de /magnesio, hidroxido de /metoclopramida, clorhidrato de/  simeticona",suspension,3.918 g / 4.235 g / 1.188g / 0.529 g /100 ml,i v,pramigel,88438 ssa,"productos cientificos, s.a. de c.v.","antiflatulento, antiacido, procinetico y antiemetico."
108,"aluminio, hidroxido de /magnesio, hidroxido de /metoclopramida,monoclorhidrato de / simeticona",comprimido,200 mg/200 mg/10 mg/50mg,iv,pramigel,87632 ssa,"productos cientificos, s.a. de c.v.","antiflatulento, antiacido, procinetico y antiemetico."
109,"aluminio, hidroxido de /magnesio, hidroxido de /simeticona",gel,( 0.8 g/0.5 g/0.075 g)/5 ml,vi,noax 3,055m82 ssa,"productos cientificos, s.a. de c.v.","antiflatulento, antiacido."
110,"aluminio, hidroxido de /magnesio, hidroxido de",suspension,"(3.7 g, 4 g) / 100 ml",vi,melox,54807 ssa,"sanofi-aventis de mexico, s.a. de c.v.","auxiliar en el manejo de condiciones que cursan conhiperacidez: gastritis, ulcera peptica y gastroduodenal, pirosisgravidica, gastritis inducida por medicamentos."
111,"aluminio, hidroxido de /carbonato de calcio / alginatode magnesio / carbonato demagnesio",suspension,2.8 g/1.5 g/5 g/3.5 g/100 ml,vi,melox noche,324m90 ssa,"sanofi-aventis de mexico, s.a. de c.v.",antiacido
112,"aluminio, hidroxido de /dimeticona /  magnesio,hidroxido de",suspension,3.7 g / 0.50 g / 4 g /100 ml,vi,melox plus,65515 ssa,"sanofi-aventis de mexico, s.a. de c.v.",antiacido y antiflatulento.
113,"alverina, citrato de /simeticona",capsula,60 mg / 300 mg,iv,meteospasmyl,046m2002 ssa,laboratoires mayoly spindler-chatou,"anticolinergico, antiespasmodico, antiflatulento, sindrome deintestino irritable."
114,"amantadina, clorhidrato de /clorfenamina, maleato de /paracetamol",jarabe,0.5 g / 0.02 g / 3 g /100 ml,v,antiflu-des jr,380m98 ssa,"productos farmaceuticos, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
115,"amantadina, clorhidrato de /clorfenamina, maleato de/paracetamol",capsula,50 mg / 3 mg / 300 mg,v,antiflu-des,77471 ssa,"productos farmaceuticos, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun.
116,"amantadina, clorhidrato de /clorfenamina, maleato de/paracetamol",solucion,2.5 g / 0.1 g / 15 g /100 ml,v,antiflu-despediatrico,85665 ssa,"productos farmaceuticos, s.a. de c.v.",auxiliar en el tratamiento sintomatico del resfriado comun
117,"amantadina, sulfato de",tableta,100 mg,iv,pk-merz,027m2002 ssa,merz pharma gmbh & co. kgaa.,antiparkinsoniano
118,"amantadina, sulfato de",solucion(inyectable),40 mg/100 ml,iv,pk-merz,260m2002 ssa,merz pharma gmbh & co. kgaa.,antiparkinsoniano.
119,ambrisentan,tableta,5 mg y 10 mg,iv,volebris,117m2013 ssa,"glaxo wellcome, s.a.",para el tratamiento de la hipertension arterial pulmonaridiopatica clase funcional ii-iii.
120,"ambroxol, clorhidrato de",solucion,"300 mg / 100 ml,600 mg / 100 ml    y750 mg / 100 ml",vi,mucosolvan,005m83 ssa,"dinafarma, s.a. de c.v.",auxiliar en la expectoracion de las flemas.
121,"ambroxol, clorhidrato de",pastilla,20 mg,vi,mucoangin,092m2003 ssa,"sanofi-aventis de mexico, s.a. de c.v.",auxiliar en el alivio del dolor de la garganta irritada.
122,"ambroxol, clorhidrato de",tableta,30 mg,vi,mucosolvan,100m83 ssa,"boehringer ingelheim promeco,s.a. de c.v.",auxiliar en la expectoracion de las flemas.
123,"ambroxol, clorhidrato de",solucion(inyectable),15 mg / 2 ml,iv,mucosolvan,101m83 ssa,"dinafarma, s.a. de c.v.",mucolitico.
124,"ambroxol, clorhidrato de /dextrometorfano,bromhidrato de",capsula,22.5 mg / 22.5 mg,vi,histiacil nf,563m2001 ssa,"sanofi-aventis de mexico, s.a. de c.v.","auxiliar en la expectoracion de las flemas, antitusivo."
125,"ambroxol, clorhidrato de /dextrometorfano,bromhidrato de",jarabe,(225 mg / 225 mg) /100 mly(150 mg / 113 mg) /100 ml,v  i,h  istiacil nf,38889nf ssa,"sanofi-aventis de mexico, s.a. de c.v.",auxiliar en la expectoracion de las flemas. antitusivo.
126,"ambroxol, clorhidrato de /claritromicina",tableta,45 mg/500 mg,iv,rezplen,531m2003 ssa,"laboratorios senosiain, s.a. de c.v.",antimicrobiano para infecciones ocasionadas por germenessensibles. mucolitico.
127,"ambroxol, clorhidrato de /claritromicina",suspension,15 mg/250 mg/5 ml,iv,rezplen,616m2004 ssa,"laboratorios senosiain, s.a. de c.v.","antibiotico (macrolido) para infecciones ocasionadas porgermenes sensibles, mucolitico."
128,"ambroxol, clorhidrato de /clenbuterol, clorhidrato de",solucion,750 mg / 500 mcg /100ml,iv,broxol plus,090m91 ssa,"productos cientificos, s.a. de c.v.","broncodilatador, mucolitico."
129,"ambroxol, clorhidrato de /clenbuterol, clorhidrato de",solucion,150 mg / 0.1 mg /100 ml,iv,mucosolvancompositum,092m88 ssa,"dinafarma, s.a. de c.v.","broncodilatador, mucolitico."
