"id","producto","precio","hora_consulta","farmacia_corto","busqueda","farmacia","pais","product_name","quantity","unit","presentacion","num_prod"
1562,venclexta 100 mg caja con frasco con 120 tabletas,160066.00,"00:05:12 05/07/2023",farmalisto_mx,VENCLEXTA,farmalisto méxico,Mexico,venclexta ,100.0,mg,tableta,120
1563,venclexta 100 mg caja con frasco con 120 tabletas,160066.00,"00:05:12 05/07/2023",farmalisto_mx,VENCLEXTA,farmalisto méxico,Mexico,venclexta ,100.0,mg,tableta,120
1564,venclexta venetoclax 1050100 mg tab caja con 42,34548.00,"00:05:35 05/07/2023",fespecializadas,VENCLEXTA,farmacias especializadas,Mexico,venclexta venetoclax ,1050100.0,mg,tableta,42
5,spectracef 200 mg com caja con 10,591.44,"00:57:33 04/07/2023",fespecializadas,SPECTRACEF,farmacias especializadas,Mexico,spectracef ,200.0,mg,tableta,10
82,vargatef 100mg cap caja con 120,80805.68,"01:15:59 04/07/2023",fespecializadas,VARGATEF,farmacias especializadas,Mexico,vargatef ,100.0,mg,capsula,120
83,levitra 10mg 1 tab,273.50,"00:54:29 04/07/2023",farmacon,LEVITRA,farmacon,Mexico,levitra ,10.0,mg,tableta,1
84,priligy 60mg 3 tabs,863.50,"00:54:29 04/07/2023",farmacon,LEVITRA,farmacon,Mexico,priligy ,60.0,mg,tableta,3
85,pradaxar 150mg cap caja con 30,1642.08,"01:07:50 04/07/2023",fespecializadas,PRADAXAR,farmacias especializadas,Mexico,pradaxar ,150.0,mg,capsula,30
86,vargatef 150mg caja con 60,71923.17,"01:15:59 04/07/2023",fespecializadas,VARGATEF,farmacias especializadas,Mexico,vargatef ,150.0,mg,,60
87,daklinza 60 mg caja con 28 tabletas,100784.50,"01:17:06 04/07/2023",farmalisto_mx,DAKLINZA,farmalisto méxico,Mexico,daklinza ,60.0,mg,tableta,28
88,opdivo solucion inyectable 100 mg 10 ml frasco ampula  rx3,44999.00,"01:20:32 04/07/2023",farmalisto_mx,OPDIVO,farmalisto méxico,Mexico,opdivo solucion inyectable ,100.0,mg,tableta,3
89,jardianz duo 12.5mg850mg 60 tabs,1738.50,"01:01:20 04/07/2023",farmacon,JARDIANZ,farmacon,Mexico,jardianz duo ,850.0,mg,tableta,60
90,jardianz 25mg 30 tabs,1560.00,"01:01:20 04/07/2023",farmacon,JARDIANZ,farmacon,Mexico,jardianz ,25.0,mg,tableta,30
91,opdivo inyectable 40 mg4 ml caja con 1 frasco ampula  rx3,17999.00,"01:20:32 04/07/2023",farmalisto_mx,OPDIVO,farmalisto méxico,Mexico,opdivo inyectable ,4.0,ml,tableta,1
92,opdivo 100mg10ml fam caja con 1,45298.00,"01:21:00 04/07/2023",fespecializadas,OPDIVO,farmacias especializadas,Mexico,opdivo ,10.0,ml,,1
93,opdivo 40mg4ml fam caja con 1,19116.00,"01:21:00 04/07/2023",fespecializadas,OPDIVO,farmacias especializadas,Mexico,opdivo ,4.0,ml,,1
94,palmolive  pack jabon en barra palmolive naturals nutricion humectante oliva y alo vera 4 pzas de 120 g cu.,56.50,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,palmolive  pack jabon en barra palmolive naturals nutricion humectante oliva y alo vera ,,,,4
95,pert  shampoo pert reparacion profunda con aceite de oliva mas aceite de aguacatepalta 180 ml.,16.00,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,pert  shampoo pert reparacion profunda con aceite de oliva mas aceite de aguacatepalta ,180.0,ml,,
96,palmolive  brillantina palmolive aceite de oliva 52 ml.,33.50,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,palmolive  brillantina palmolive aceite de oliva ,52.0,ml,,
97,trayenta 5mg 10 tabs,559.50,"01:13:20 04/07/2023",farmacon,TRAYENTA,farmacon,Mexico,trayenta ,5.0,mg,tableta,10
98,palmolive  brillantina palmolive con aceite de oliva 115 ml.,54.50,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,palmolive  brillantina palmolive con aceite de oliva ,115.0,ml,,
99,palmolive  brillantina palmolive con aceite de oliva 199 ml.,75.50,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,palmolive  brillantina palmolive con aceite de oliva ,199.0,ml,,
100,grana  aceite de oliva grana extra virgen sabor intenso 128 ml.,34.00,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,grana  aceite de oliva grana extra virgen sabor intenso ,128.0,ml,,
101,pert  shampoo y acondicionador pert 2 en 1 reparacion profunda con aceite de oliva mas aceite de aguacatepalta 650 ml.,35.00,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,pert  shampoo y acondicionador pert ,650.0,ml,,2
102,galvus met 50 mg  500 mg caja con 60 comprimidos recubiertos,1218.00,"02:59:11 04/07/2023",farmalisto_mx,GALVUS,farmalisto méxico,Mexico,galvus met ,50.0,mg,tableta,60
103,jaloma  aceite suavizante jaloma clasico de olivo 120 ml.,19.51,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,jaloma  aceite suavizante jaloma clasico de olivo ,120.0,ml,,
104,dabex xr 500mg 30 tabs,310.00,"01:04:48 04/07/2023",farmacon,JARDIANZ DPP,farmacon,Mexico,dabex xr ,500.0,mg,tableta,30
105,nexium mups 14 tabletas caja esomeprazol magnesico trihidra 40 mg,864.00,"00:43:37 04/07/2023",fsanpablo,NEXIUM,farmacias san pablo,Mexico,nexium mups ,40.0,mg,tableta,14
106,sensaval  shampoo sensaval styling oliva 650 ml.,31.50,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,sensaval  shampoo sensaval styling oliva ,650.0,ml,,
107,nexium granulado pediatrico 28 granulado sobre esomeprazol magnesico trihidra 2.5 mg,626.00,"00:43:37 04/07/2023",fsanpablo,NEXIUM,farmacias san pablo,Mexico,nexium granulado pediatrico ,2.5,mg,,28
108,nexium gdo 10mg sob caja con 28,723.04,"00:43:47 04/07/2023",fespecializadas,NEXIUM,farmacias especializadas,Mexico,nexium gdo ,10.0,mg,,28
120,pert  crema para peinar pert reparacion con aceite de oliva mas aceite de aguacatepalta 100 ml.,16.50,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,pert  crema para peinar pert reparacion con aceite de oliva mas aceite de aguacatepalta ,100.0,ml,crema,
121,palmolive  jabon de tocador palmolive clasico con aceite de oliva en barra 100 gr.,11.00,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,palmolive  jabon de tocador palmolive clasico con aceite de oliva en barra ,,,,100
122,maretti  pan horneado maretti bruschette chips tomato olives  oregano 40 gr.,16.50,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,maretti  pan horneado maretti bruschette chips tomato olives  oregano ,,,,40
123,nutrioli  oli de nutrioli aceite de oliva extra virgen 250 ml.,74.00,"01:21:57 04/07/2023",fguadalajara,OPDIVO,farmacias guadalajara,Mexico,nutrioli  oli de nutrioli aceite de oliva extra virgen ,250.0,ml,,
124,reyataz 200 mg con 60 capsulas,6430.00,"01:22:21 04/07/2023",farmalisto_mx,REYATAZ,farmalisto méxico,Mexico,reyataz ,200.0,mg,capsula,60
125,sprycel 50 mg frasco con 60 tabletas,79000.00,"01:23:56 04/07/2023",farmalisto_mx,SPRYCEL,farmalisto méxico,Mexico,sprycel ,50.0,mg,tableta,60
126,olumiant oral 28 tabletas caja baricitinib 2 mg,23172.00,"01:30:59 04/07/2023",fsanpablo,OLUMIANT,farmacias san pablo,Mexico,olumiant oral ,2.0,mg,tableta,28
127,arcoxia  arcoxia 120 mg 7 comprimidos.,863.39,"02:47:07 04/07/2023",fguadalajara,ARCOXIA,farmacias guadalajara,Mexico,arcoxia  arcoxia ,120.0,mg,tableta,7
128,olumiant 2 mg tab caja con 28,20793.00,"01:31:06 04/07/2023",fespecializadas,OLUMIANT,farmacias especializadas,Mexico,olumiant ,2.0,mg,tableta,28
8498,trayenta duo 2.5mg850mg 30 tabs,879.00,"01:14:59 08/07/2023",farmacon,TRAYENTA,farmacon,Mexico,trayenta duo ,850.0,mg,tableta,30
6,xarelto 20 mg caja con 14 comprimidos,1352.00,"00:58:53 04/07/2023",farmalisto_mx,XARELTO,farmalisto méxico,Mexico,xarelto ,20.0,mg,tableta,14
129,olumiant 4 mg tab caja con 28,20793.00,"01:31:06 04/07/2023",fespecializadas,OLUMIANT,farmacias especializadas,Mexico,olumiant ,4.0,mg,tableta,28
130,taltz solucon inyectable 1 pieza pluma prellenada ixekizumab 80 mg,29387.00,"01:32:31 04/07/2023",fsanpablo,TALTZ,farmacias san pablo,Mexico,taltz solucon inyectable ,80.0,mg,tableta,1
131,taltz 80 mgml pluma caja con 1,31251.00,"01:32:39 04/07/2023",fespecializadas,TALTZ,farmacias especializadas,Mexico,taltz ,,,,1
132,affective  ropa interior affective active talla grande 10 pzas.,139.50,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,affective  ropa interior affective active talla grande ,,,,10
133,kleenbebe  panales para bebe kleenbebe suavelastic etapa 6 talla xj 40 pzas.,259.00,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,kleenbebe  panales para bebe kleenbebe suavelastic etapa ,,,,6
134,kleenbebe  panales para bebe kleenbebe suavelastic etapa 4 talla g 40 pzas.,209.00,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,kleenbebe  panales para bebe kleenbebe suavelastic etapa ,,,,4
135,bbtips  panales para bebe bbtips sensitive desechables talla 7 xxl 40 pzas.,258.50,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,bbtips  panales para bebe bbtips sensitive desechables talla ,,,,7
136,galvus met 850 mg 50 mg caja con 60 comprimidos recubiertos,1185.00,"02:59:11 04/07/2023",farmalisto_mx,GALVUS,farmalisto méxico,Mexico,galvus met ,850.0,mg,tableta,60
137,galvus met 30 comprimidos caja vildagliptina 50 mg metformina 850 mg,598.00,"02:59:26 04/07/2023",fsanpablo,GALVUS,farmacias san pablo,Mexico,galvus met ,50.0,mg,tableta,30
138,chicolastic  panales para bebe chicolastic classic desechables unisex talla 5 xg 64 pzas.,203.50,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,chicolastic  panales para bebe chicolastic classic desechables unisex talla ,,,,5
139,xigduo xr 10mg1000mg 28 tabs,1397.50,"01:04:48 04/07/2023",farmacon,JARDIANZ DPP,farmacon,Mexico,xigduo xr ,1000.0,mg,tableta,28
140,boston  plantilla boston anatomica indeformable talla 79 para caballero 1 par.,29.50,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,boston  plantilla boston anatomica indeformable talla ,,,,79
141,chicolastic  panales para bebe chicolastic classic desechables unisex talla 5 xg 40 pzas.,155.90,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,chicolastic  panales para bebe chicolastic classic desechables unisex talla ,,,,5
142,boston  plantilla boston antibacterial talla m 2527 1 par.,91.50,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,boston  plantilla boston antibacterial talla m ,,,,2527
143,abumar  plantilla de descanso abumar para caballero talla g 1 par.,38.00,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,abumar  plantilla de descanso abumar para caballero talla g ,,,,1
144,pradaxar 60 capsulas caja etexilato de dabigatran 75 mg,2808.00,"01:07:42 04/07/2023",fsanpablo,PRADAXAR,farmacias san pablo,Mexico,pradaxar ,75.0,mg,capsula,60
145,happy baby  panales para bebe happy baby con manzanilla aloe vera y vitamina e talla m 14 pzas.,38.00,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,happy baby  panales para bebe happy baby con manzanilla aloe vera y vitamina e talla m ,,,,14
146,happy baby  panales para bebe happy baby con manzanilla aloe vera y vitamina e talla g 14 pzas.,43.50,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,happy baby  panales para bebe happy baby con manzanilla aloe vera y vitamina e talla g ,,,,14
147,reyvow 50 mg tab caja con 4,968.64,"01:39:40 04/07/2023",fespecializadas,REYVOW,farmacias especializadas,Mexico,reyvow ,50.0,mg,tableta,4
148,bbtips  panales para bebe bbtips sensitive desechables talla 5 xg 40 pzas.,224.00,"01:33:37 04/07/2023",fguadalajara,TALTZ,farmacias guadalajara,Mexico,bbtips  panales para bebe bbtips sensitive desechables talla ,,,,5
149,levitra 20mg tab caja con 1,328.98,"00:54:13 04/07/2023",fespecializadas,LEVITRA,farmacias especializadas,Mexico,levitra ,20.0,mg,tableta,1
150,soliqua solucion inyectable 1 pluma prellenada caja insulina glargina 100 ml lixisenatida 33 mcg,981.00,"01:34:19 04/07/2023",fsanpablo,TRULICITY,farmacias san pablo,Mexico,soliqua solucion inyectable ,100.0,ml,tableta,1
160,verzenio 56 tabletas caja abemaciclib 100 mg,73241.50,"01:35:57 04/07/2023",fsanpablo,VERZENIO,farmacias san pablo,Mexico,verzenio ,100.0,mg,tableta,56
161,verzenio 56 tabletas caja abemaciclib 50 mg,73241.50,"01:35:57 04/07/2023",fsanpablo,VERZENIO,farmacias san pablo,Mexico,verzenio ,50.0,mg,tableta,56
162,verzenio 56 tabletas caja abemaciclib 150 mg,73241.50,"01:35:57 04/07/2023",fsanpablo,VERZENIO,farmacias san pablo,Mexico,verzenio ,150.0,mg,tableta,56
163,kombiglyze xr 28 tableta caja clorhidrato de saxagliptina 2.5 mg metformina 1000 mg,749.00,"00:40:13 04/07/2023",fsanpablo,KOMBIGLYZE XR,farmacias san pablo,Mexico,kombiglyze xr ,2.5,mg,tableta,28
164,kombiglyze xr 28 tableta caja clorhidrato de saxagliptina 5 mg metformina 1000 mg,1200.00,"00:40:13 04/07/2023",fsanpablo,KOMBIGLYZE XR,farmacias san pablo,Mexico,kombiglyze xr ,5.0,mg,tableta,28
165,verzenio 100 mg tab caja con 56,70762.00,"01:36:06 04/07/2023",fespecializadas,VERZENIO,farmacias especializadas,Mexico,verzenio ,100.0,mg,tableta,56
166,verzenio 50 mg tab caja con 56,70762.00,"01:36:06 04/07/2023",fespecializadas,VERZENIO,farmacias especializadas,Mexico,verzenio ,50.0,mg,tableta,56
167,emgality 1 solucion inyeccion galcanezumab 120 mg,5148.00,"01:37:39 04/07/2023",fsanpablo,EMGALITY,farmacias san pablo,Mexico,emgality ,120.0,mg,solucion,1
168,emgality 120 mg  ml plpl caja con  1,4620.00,"01:37:47 04/07/2023",fespecializadas,EMGALITY,farmacias especializadas,Mexico,emgality ,120.0,mg,,1
169,reyvow  reyvow 50 mg 4 tabletas.,912.00,"01:40:38 04/07/2023",fguadalajara,REYVOW,farmacias guadalajara,Mexico,reyvow  reyvow ,50.0,mg,tableta,4
170,reyvow  reyvow 100 mg 4 tabletas.,912.00,"01:40:38 04/07/2023",fguadalajara,REYVOW,farmacias guadalajara,Mexico,reyvow  reyvow ,100.0,mg,tableta,4
171,diarahkor  diarahkor 60mg12.5mg 20 tabletas.,893.18,"01:42:17 04/07/2023",fguadalajara,ARANKOR,farmacias guadalajara,Mexico,diarahkor  diarahkor ,12.5,mg,tableta,20
172,arahkor  arahkor 60 mg 20 tabletas.,817.51,"01:42:17 04/07/2023",fguadalajara,ARANKOR,farmacias guadalajara,Mexico,arahkor  arahkor ,60.0,mg,tableta,20
3289,venclexta 100 mg caja con frasco con 120 tabletas,160066.00,"00:20:12 06/07/2023",farmalisto_mx,VENCLEXTA,farmalisto méxico,Mexico,venclexta ,100.0,mg,tableta,120
7,kombiglyze xr 5 mg1000 mg caja con 14 tabletas,708.50,"00:39:59 04/07/2023",farmalisto_mx,KOMBIGLYZE XR,farmalisto méxico,Mexico,kombiglyze xr ,1000.0,mg,tableta,14
173,arahkor  arahkor duo 60mg5mg 30 tabletas.,1279.88,"01:42:17 04/07/2023",fguadalajara,ARANKOR,farmacias guadalajara,Mexico,arahkor  arahkor duo ,5.0,mg,tableta,30
174,fampyra 10 mg caja con 4 frascos 14 tabletas cu 56 tabletas,17400.00,"01:44:19 04/07/2023",farmalisto_mx,FAMPYRA,farmalisto méxico,Mexico,fampyra ,10.0,mg,tableta,4
175,fampyra 10 mg caja con 4 frascos de 14 tabletas cu,17400.00,"01:44:19 04/07/2023",farmalisto_mx,FAMPYRA,farmalisto méxico,Mexico,fampyra ,10.0,mg,tableta,4
176,spiolto respimat caja con cartucho con 4 ml con 30 dosis y dispositivo dosificador,1542.00,"01:10:52 04/07/2023",farmalisto_mx,SPIOLTO,farmalisto méxico,Mexico,spiolto respimat caja con cartucho con ,4.0,ml,,30
177,insulex n 100uiml 1 amp x 10ml,365.00,"01:04:48 04/07/2023",farmacon,JARDIANZ DPP,farmacon,Mexico,insulex n ,10.0,ml,,1
178,spiolto respimat solucion cartucho de 4ml 30 solucion cartucho tiotropio 0.226 mg clorhidrato de olodaterol 0.226 mg,1518.00,"01:11:09 04/07/2023",fsanpablo,SPIOLTO,farmacias san pablo,Mexico,spiolto respimat solucion cartucho de ,4.0,ml,solucion,30
179,fampyra 10mg 4 fcos caja con 14 tab caja con 56,17242.56,"01:44:38 04/07/2023",fespecializadas,FAMPYRA,farmacias especializadas,Mexico,fampyra ,10.0,mg,tableta,4
180,truvada 300 mg200 mg caja con 30 tabletas,9500.00,"01:46:03 04/07/2023",farmalisto_mx,TRUVADA,farmalisto méxico,Mexico,truvada ,200.0,mg,tableta,30
181,triumeq caja con 30 tabletas,15750.00,"01:46:03 04/07/2023",farmalisto_mx,TRUVADA,farmalisto méxico,Mexico,triumeq caja con ,,,tableta,30
182,rilonaevo 200 mg50 mg caja con 120 tabletas,7400.00,"01:46:03 04/07/2023",farmalisto_mx,TRUVADA,farmalisto méxico,Mexico,rilonaevo ,50.0,mg,tableta,120
183,johnsons  polvo de almidon johnsons 200 gr.,70.00,"01:47:19 04/07/2023",fguadalajara,TRUVADA,farmacias guadalajara,Mexico,johnsons  polvo de almidon johnsons ,,,,200
184,vytorin  vytorin 10mg10mg 28 comprimidos.,1332.49,"02:57:15 04/07/2023",fguadalajara,VYTORIN,farmacias guadalajara,Mexico,vytorin  vytorin ,10.0,mg,tableta,28
185,trulicity solucion 0.75 mg0.5 ml inyectable caja con 2 plumas precargadas  rx3,1606.00,"01:34:01 04/07/2023",farmalisto_mx,TRULICITY,farmalisto méxico,Mexico,trulicity solucion ,0.5,ml,tableta,2
186,electrolit  suero rehidratante electrolit sabor horchata 625 ml.,21.90,"01:47:19 04/07/2023",fguadalajara,TRUVADA,farmacias guadalajara,Mexico,electrolit  suero rehidratante electrolit sabor horchata ,625.0,ml,,
187,relvare polvo 200mcg25mcg 30 dosis,991.50,"01:58:51 04/07/2023",farmacon,RELVARE,farmacon,Mexico,relvare polvo ,,,,30
188,kola loka  pegamento instantaneo kola loka goterito 3.5 gr.,26.00,"03:49:12 04/07/2023",fguadalajara,PEGASYS,farmacias guadalajara,Mexico,kola loka  pegamento instantaneo kola loka goterito ,,,,5
189,good nites  ropa interior good nites grandeextra grande unisex 11 pzas.,193.50,"03:50:55 04/07/2023",fguadalajara,PERJETA,farmacias guadalajara,Mexico,good nites  ropa interior good nites grandeextra grande unisex ,,,,11
190,janumet 28 comprimidos caja fosfato de sitagliptina 50 mg metformina 850 mg,857.00,"04:05:12 04/07/2023",fsanpablo,JANUMET,farmacias san pablo,Mexico,janumet ,50.0,mg,tableta,28
191,janumet 28 comprimidos caja fosfato de sitagliptina 50 mg metformina 500 mg,897.00,"04:05:12 04/07/2023",fsanpablo,JANUMET,farmacias san pablo,Mexico,janumet ,50.0,mg,tableta,28
192,edarbi 14 tabletas caja azilsartan medoxomilo 80 mg clortalidona 12.5 mg,761.00,"04:22:22 04/07/2023",fsanpablo,EDARBI CLD,farmacias san pablo,Mexico,edarbi ,80.0,mg,tableta,14
193,forxiga 14 tabletas caja dapagliflozina propanodiol 10 mg,834.00,"00:36:41 04/07/2023",fsanpablo,FORXIGA,farmacias san pablo,Mexico,forxiga ,10.0,mg,tableta,14
194,nexiummups  nexiummups 40 mg 14 tabletas.,810.55,"00:44:36 04/07/2023",fguadalajara,NEXIUM,farmacias guadalajara,Mexico,nexiummups  nexiummups ,40.0,mg,tableta,14
202,pringles  papas pringles sabor queso cheddar 124 gr.,53.00,"01:47:19 04/07/2023",fguadalajara,TRUVADA,farmacias guadalajara,Mexico,pringles  papas pringles sabor queso cheddar ,,,,124
