"id","producto","precio","hora_consulta","farmacia_corto","busqueda","farmacia","pais","product_name","quantity","unit","presentacion","num_prod"
11771,glucobay 100 mg caja con 30 comprimidos,607.00,"10:45:15 20/07/2023",farmalisto_mx,acarbosa,farmalisto méxico,Mexico,glucobay,100.0,mg,tableta,30
11772,acarbosa 50 mg alpharma 30 tabletas caja,80.00,"10:45:28 20/07/2023",fsanpablo,acarbosa,farmacias san pablo,Mexico,acarbosa,50.0,mg,tableta,30
11773,glucobay 100mg com caja con 30,742.30,"10:45:37 20/07/2023",fespecializadas,acarbosa,farmacias especializadas,Mexico,glucobay,100.0,mg,tableta,30
11774,glucobay 50mg com caja con 30,357.44,"10:45:37 20/07/2023",fespecializadas,acarbosa,farmacias especializadas,Mexico,glucobay,50.0,mg,tableta,30
11775,acarbosa 50mg 30 tabs,127.00,"10:45:52 20/07/2023",farmacon,acarbosa,farmacon,Mexico,acarbosa,50.0,mg,tableta,30
11776,glucobay 50mg 30 comp,293.50,"10:45:52 20/07/2023",farmacon,acarbosa,farmacon,Mexico,glucobay,50.0,mg,tableta,30
11777,glucobay 100mg 30 comp,727.50,"10:45:52 20/07/2023",farmacon,acarbosa,farmacon,Mexico,glucobay,100.0,mg,tableta,30
11778,acarbosa 50 mg oral 30 tabletas marca del ahorro,79.00,"10:47:30 20/07/2023",fahorro,acarbosa,farmacias del ahorro,Mexico,acarbosa,50.0,mg,tableta,30
11779,glucobay 100 mg oral,740.00,"10:47:30 20/07/2023",fahorro,acarbosa,farmacias del ahorro,Mexico,glucobay,100.0,mg,"",
11780,acarbosa,296.44,"10:47:44 20/07/2023",pchecker,acarbosa,liferxpharmacy.com/,Canada,acarbosa,25.0,mg,tableta,60
11781,acarbosa,370.54,"10:47:44 20/07/2023",pchecker,acarbosa,liferxpharmacy.com/,Canada,acarbosa,25.0,mg,tableta,90
11782,acarbosa,390.33,"10:47:44 20/07/2023",pchecker,acarbosa,medsengage.com,Canada,acarbosa,25.0,mg,tableta,60
11783,acarbosa,487.91,"10:47:44 20/07/2023",pchecker,acarbosa,medsengage.com,Canada,acarbosa,25.0,mg,tableta,90
11784,acarbosa,318.73,"10:47:44 20/07/2023",pchecker,acarbosa,offshorecheapmeds.com,Canada,acarbosa,25.0,mg,tableta,60
11785,acarbosa,398.38,"10:47:44 20/07/2023",pchecker,acarbosa,offshorecheapmeds.com,Canada,acarbosa,25.0,mg,tableta,90
11786,glucobay 50 mg tira de 10 tabletas,33.24,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,glucobay,50.0,mg,tableta,10
11787,glucobay m tableta de 50 mg,35.50,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,glucobay m tableta de,50.0,mg,tableta,
11788,glucobay 25 mg tira de 10 tabletas,19.29,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,glucobay,25.0,mg,tableta,10
11789,glucobay m tableta de 25 mg,22.57,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,glucobay m tableta de,25.0,mg,tableta,
11790,tableta rebose 25mg,11.70,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,tableta rebose,25.0,mg,tableta,
11791,tableta de 25 mg de acarz,0.62,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,tableta de,25.0,mg,tableta,
11792,tableta de 25 mg de acarjohn,14.36,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,tableta de,25.0,mg,tableta,
11793,tableta de glucar 25mg,16.52,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,tableta de glucar,25.0,mg,tableta,
11794,tableta recarb 50mg,26.26,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,tableta recarb,50.0,mg,tableta,
11795,tableta recarb 25mg,13.34,"10:48:59 20/07/2023",pharmeasy,acarbosa,pharmeasy,India,tableta recarb,25.0,mg,tableta,
11796,aglucose 50 mg com ct bl al al x 30,118.82,"10:49:24 20/07/2023",avisa,acarbosa,agencia nacional de vigilancia sanitaria brasil,Brasil,aglucose,50.0,mg,tableta,30
11797,aglucose 100 mg com ct bl al al x 30,180.34,"10:49:24 20/07/2023",avisa,acarbosa,agencia nacional de vigilancia sanitaria brasil,Brasil,aglucose,100.0,mg,tableta,30
11798,glucobay 50 mg com ct bl alal x 30,188.75,"10:49:24 20/07/2023",avisa,acarbosa,agencia nacional de vigilancia sanitaria brasil,Brasil,glucobay,50.0,mg,tableta,30
11799,glucobay 100 mg com ct bl alal x 30,281.69,"10:49:24 20/07/2023",avisa,acarbosa,agencia nacional de vigilancia sanitaria brasil,Brasil,glucobay,100.0,mg,tableta,30
11800,aglucosa 50mg con 30 pastillas,133.03,"10:49:35 20/07/2023",araujo,acarbosa,farmacias araujo,Brasil,aglucosa,50.0,mg,tableta,30
11801,azelac crema facial hidratante 50 ml,1003.40,"10:50:26 20/07/2023",farmalisto_mx,ácido nicotinico,farmalisto méxico,Mexico,azelac crema facial hidratante,50.0,ml,crema,
11802,regalo ezagun 20 mg caja con 30 tabletas,1.00,"10:50:26 20/07/2023",farmalisto_mx,ácido nicotinico,farmalisto méxico,Mexico,regalo ezagun,20.0,mg,tableta,30
11803,niquitin etapa 1 7 parche sobre nicotina 21 mg,223.00,"10:50:43 20/07/2023",fsanpablo,ácido nicotinico,farmacias san pablo,Mexico,niquitin etapa,21.0,mg,sobre,1
11804,acido acetilsalicilico 100 mg aurax 60 tabletas caja,61.00,"10:50:43 20/07/2023",fsanpablo,ácido nicotinico,farmacias san pablo,Mexico,acido acetilsalicilico,100.0,mg,tableta,60
11805,acido ascorbico 2 g oxitalc vitamina c 10 tabletas tubo,98.00,"10:50:43 20/07/2023",fsanpablo,ácido nicotinico,farmacias san pablo,Mexico,acido ascorbico,,"",tableta,2
11806,acido ascorbico 1 g oxitalc vitamina c 10 comprimidos tubo,78.00,"10:50:43 20/07/2023",fsanpablo,ácido nicotinico,farmacias san pablo,Mexico,acido ascorbico,,"",tableta,1
11807,neocell acido hialuronico 60 capsulas frasco,650.00,"10:50:43 20/07/2023",fsanpablo,ácido nicotinico,farmacias san pablo,Mexico,neocell acido hialuronico,,"",capsula,60
11808,tratamiento antiedad agexpert splendor 5 unidades de 2 ml,401.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,tratamiento antiedad agexpert splendor,2.0,ml,"",5
11809,farmapiel suero facial acido hialuronico 8b 30 g,494.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,farmapiel suero facial acido hialuronico,,"","",30
11810,babaria crema facial acido hialuronico,199.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,babaria crema facial acido hialuronico,,"",crema,
11811,babaria kit rituales acido hialuronico 3 pz,325.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,babaria kit rituales acido hialuronico,,"","",3
11812,revitalift acido hialuronico gel 150 ml,114.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,revitalift acido hialuronico gel,150.0,ml,"",
11813,finacea gel 15 30 g,496.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,finacea gel,,"","",15
11814,limpiador facial ponds hydra active 200 ml,95.50,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,limpiador facial ponds hydra active,200.0,ml,"",
11815,miruel 250 mg x 120 ml,323.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,miruel,250.0,mg,"",
11816,vitaminas  minerales  omega 3 acido folico 30 capsulas marca del ahorro,223.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vitaminas  minerales  omega,,"",capsula,3
11817,acrylarm gel 10 g,639.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acrylarm gel,,"","",10
11818,neocell hyaluronic acid 60 capsulas,877.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,neocell hyaluronic acid,,"",capsula,60
11819,acido urico,52.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido urico,,"","",
11820,acidos biliares,827.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acidos biliares,,"","",
11821,acido nalidixicofenazopiridina 500 mg marca del ahorro,94.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido nalidixicofenazopiridina,500.0,mg,"",
11822,folatos acido folico,208.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,folatos acido folico,,"","",
11823,acidos grasos libres,262.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acidos grasos libres,,"","",
11824,acido vanilmandelico avm,695.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido vanilmandelico avm,,"","",
11825,acido urico urinario,44.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido urico urinario,,"","",
11826,acido alendronico 10 mg 30 tabletas marca del ahorro,353.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido alendronico,10.0,mg,tableta,30
11827,penamox 12h duo 5 ml 6042.9 mg,344.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,penamox,5.0,ml,"",
11828,acidos organicos en orina,2168.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acidos organicos en orina,,"","",
11829,vitamina c acido ascorbico,1506.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vitamina c acido ascorbico,,"","",
11911,synderm plus 280 ml,249.68,"10:54:00 20/07/2023",audifarma,ácido nicotinico,audifarma,Colombia,synderm plus,280.0,ml,"",
11830,ogestan suplemento alimenticio 30 capsulas,585.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,ogestan suplemento alimenticio,,"",capsula,30
11831,acido lactico en plasma lactato,233.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido lactico en plasma lactato,,"","",
11832,acido 5 hidroxi indol acetico,1192.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido,,"","",5
11833,mascarilla oh k  sugu sleep sheet 25 ml,28.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,mascarilla oh k  sugu sleep sheet,25.0,ml,"",
11834,purifect facial cream hyaluronic acid 50 ml,266.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,purifect facial cream hyaluronic acid,50.0,ml,"",
11835,darrow doctar shampoo caspa severa 120 ml,302.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,darrow doctar shampoo caspa severa,120.0,ml,ampolleta,
11836,sydolil oral 36 tabletas c2,741.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,sydolil oral,,"",tableta,36
11837,depakene 250 mg5 ml jarabe oral 120 ml,476.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,depakene,5.0,ml,jarabe,1
11838,vichy agua termal frabel 50 ml,403.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vichy agua termal frabel,50.0,ml,"",
11839,vichy agua termal frabel 300 ml,490.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vichy agua termal frabel,300.0,ml,"",
11840,darrow actine gel limpiador 400 gr,453.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,darrow actine gel limpiador,,"","",400
11841,darrow actine gel limpiador 240 gr,362.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,darrow actine gel limpiador,,"","",240
11842,darrow actine gel limpiador 140 gr,221.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,darrow actine gel limpiador,,"","",140
11843,gynofit gel vaginal 6 aplicaciones de 5 ml,499.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,gynofit gel vaginal,5.0,ml,"",6
11844,plenafem suplemento alimenticio 30 caps,261.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,plenafem suplemento alimenticio,,"",capsula,30
11845,ponstan 500 mg oral 15 tabletas,246.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,ponstan,500.0,mg,tableta,15
11846,fosfonat 150 mg oral 1 tabletas,884.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,fosfonat,150.0,mg,tableta,1
11847,acelerco 20.1 crema cutanea 15 g,315.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acelerco,,"",crema,1
11848,agua micelar revitalift acido hialuronico 400 ml,127.50,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,agua micelar revitalift acido hialuronico,400.0,ml,"",
11849,magaldrato dimeticona 250 ml solucion marca del ahorro,100.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,magaldrato dimeticona,250.0,ml,solucion,1
11850,solanum cla 220v bote con 60 capsulas,201.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,solanum cla,,"",capsula,60
11851,floroglucinoltrimetilfloroglucinol 20 capsulas marca del ahorro,161.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,floroglucinoltrimetilfloroglucinol,,"",capsula,20
11852,la roche posay hydrapure ha ligero 50 ml,594.75,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,la roche posay hydrapure ha ligero,50.0,ml,"",
11853,penamox 12h duo 87125 mg 10,500.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,penamox,87125.0,mg,"",10
11854,penamox 12h duo 400 ml,380.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,penamox,400.0,ml,"",
11855,clavulin 12h 875 mg con 15 tabletas,692.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,clavulin,875.0,mg,tableta,15
11856,eucerin hyaluron filler,1041.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,eucerin hyaluron filler,,"","",
11857,penamox 12h duo 87125 mg 14 tabletas,714.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,penamox,87125.0,mg,tableta,14
11858,salilex 2 30 pads,519.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,salilex,,"","",2
11859,glicolic crema antiedad 60 g,926.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,glicolic crema antiedad,,"",crema,60
11860,clavulin 500 mg oral 15 tabletas,695.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,clavulin,500.0,mg,tableta,15
11861,clavulin 250 mg oral 75 ml suspension,451.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,clavulin,250.0,mg,suspension,1
11862,clavulin 12h 875125mg oral 10 tabletas,703.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,clavulin,875125.0,mg,tableta,10
11863,clavulin 12h 40057mg oral 50 ml suspension,395.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,clavulin,40057.0,mg,suspension,1
11864,clavulin 12h 20028.5mg oral 40 ml suspension,244.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,clavulin,20028.5,mg,suspension,1
11865,fucicort 2 crema con 15 g,318.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,fucicort,,"",crema,2
11866,vitamina c acido ascorbico 500 mg 10 capsulas marca del ahorro,61.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vitamina c acido ascorbico,500.0,mg,capsula,10
11867,nocele suplemento alimenticio 30 capsulas,242.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,nocele suplemento alimenticio,,"",capsula,30
11868,augmentin 87125 mg con 14 tabletas,581.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,augmentin,87125.0,mg,tableta,14
11869,augmentin 500125mg oral 20 tabletas,716.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,augmentin,500125.0,mg,tableta,20
11870,augmentin 25062.50 mg oral inf 75 ml suspension,475.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,augmentin,25062.5,mg,suspension,1
12339,tableta atorec ez,53.68,"11:31:06 20/07/2023",pharmeasy,atorvastatina / ezetimiba,pharmeasy,India,tableta atorec ez,,"",tableta,
11871,augmentin 12h 400 mg oral inf 60 ml suspension,414.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,augmentin,400.0,mg,suspension,1
11872,augmentin 12h 200 mg oral pediatrico 40 ml suspension,252.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,augmentin,200.0,mg,suspension,1
11873,augmentin 125 mg5 ml oral ped 60 ml suspension,260.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,augmentin,5.0,ml,suspension,1
11874,redoxon forte 2 g de vitamina c sabor naranja 10 tabletas efervescentes,131.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,redoxon forte,,"",tableta,2
11875,purifect facial serum hyaluronic acid 100 30 ml,185.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,purifect facial serum hyaluronic acid,30.0,ml,"",100
11876,cafiaspirina analgesico 40 tabletas,52.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,cafiaspirina analgesico,,"",tableta,40
11877,cafiaspirina forte analgesico 24 tabletas,59.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,cafiaspirina forte analgesico,,"",tableta,24
11878,acido folicohierro oral 30 tabletas marca del ahorro,230.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido folicohierro oral,,"",tableta,30
11879,acido acetilsalicilico 100 mg 28 tabletas marca del ahorro,24.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido acetilsalicilico,100.0,mg,tableta,28
11880,vichy liftactiv dosis antioxidante 10 ml,712.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vichy liftactiv dosis antioxidante,10.0,ml,"",
11881,salilex jabon barra 120 g,338.50,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,salilex jabon barra,,"","",120
11882,eucerin hyaluron filler crema facial de dia 50 ml,1012.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,eucerin hyaluron filler crema facial de dia,50.0,ml,crema,
11883,uroclasio nf solucion 150 ml,441.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,uroclasio nf solucion,150.0,ml,solucion,1
11884,aluminiomagnesiosimeticona 320 ml suspension marca del ahorro,76.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,aluminiomagnesiosimeticona,320.0,ml,suspension,1
11885,vichy liftactiv supreme 50 ml,1034.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vichy liftactiv supreme,50.0,ml,"",
11886,vichy liftactiv dermorigen noche 50 ml,1053.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vichy liftactiv dermorigen noche,50.0,ml,"",
11887,vichy neovadiol phytosculpt 50 ml,908.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vichy neovadiol phytosculpt,50.0,ml,"",
11888,vichy crema liftactiv collagen specialist 50 ml,1185.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,vichy crema liftactiv collagen specialist,50.0,ml,crema,
11889,galorganic colagenoacido hialbiotvi c 500 gr,966.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,galorganic colagenoacido hialbiotvi c,,"","",500
11890,sesderma sensyses hialuronic 200 ml,464.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,sesderma sensyses hialuronic,200.0,ml,"",
11891,glicolic locion antiedad y exfoliante 60 g,627.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,glicolic locion antiedad y exfoliante,,"","",60
11892,glicolic shampoo corporal 240 ml,627.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,glicolic shampoo corporal,240.0,ml,ampolleta,
11893,acido mefenamico 500 mg oral 10 tabletas marca del ahorro,58.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,acido mefenamico,500.0,mg,tableta,10
11894,magnesio 8.5 360 ml marca del ahorro,67.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,magnesio,360.0,ml,"",5
11895,recoveron 4.74 g granulado 10 sobres,1431.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,recoveron,,"",sobre,74
11896,diclofenaco acido lib 0.18 g 120 ml suspension marca del ahorro,136.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,diclofenaco acido lib,120.0,ml,suspension,1
11897,endocare hyaluboost age barrier serum 30 ml,800.00,"10:53:31 20/07/2023",fahorro,ácido nicotinico,farmacias del ahorro,Mexico,endocare hyaluboost age barrier serum,30.0,ml,"",
