id,producto,precio,hora_consulta,farmacia_corto,busqueda,farmacia,pais,product_name,quantity,unit,presentacion,num_prod,atc,coincidencia
11979,adenobal plus tapa,20.36,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,adenobal plus tapa,,,,,C01,0
11980,gorra nofymag,34.97,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,gorra nofymag,,,,,C01,0
11981,tableta de 200 mg de adenorich,62.74,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,tableta de,200.0,mg,tableta,,C01,0
11982,adenosyl od nueva tira de 10 capsulas de gelatina blanda,29.41,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,adenosyl od nueva tira de,,,capsula,10.0,C01,0
11983,adeno plus cap 10s,22.63,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,adeno plus cap,,,capsula,10.0,C01,0
11984,tapa de adenosilo 500mcg,14.4,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,tapa de adenosilo,,,,,C01,0
11985,inyeccion de adrenalina aqua fina,2.87,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,inyeccion de adrenalina aqua fina,,,inyeccion,,C01,0
11986,pestana de adenomina,20.57,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,pestana de adenomina,,,,,C01,0
11987,tableta de adenomac 400mg,145.22,20/07/2023 11:00,pharmeasy,adenosina,pharmeasy,India,tableta de adenomac,400.0,mg,tableta,,C01,0
11988,geriaton com rev ct fr plas opc x 30,223.78,20/07/2023 11:00,avisa,adenosina,agencia nacional de vigilancia sanitaria brasil,Brasil,geriaton com rev ct fr plas opc x,,,tableta,30.0,C01,0
11989,natus gerin cap gel mole ct bl al plas trans x 50,833.48,20/07/2023 11:00,avisa,adenosina,agencia nacional de vigilancia sanitaria brasil,Brasil,natus gerin cap gel mole ct bl al plas trans x,,,capsula,50.0,C01,0
11990,natus gerin cap gel mole ct bl al plas trans x 30,518.38,20/07/2023 11:00,avisa,adenosina,agencia nacional de vigilancia sanitaria brasil,Brasil,natus gerin cap gel mole ct bl al plas trans x,,,capsula,30.0,C01,0
11991,natus gerin con 50 capsulas,235.11,20/07/2023 11:00,araujo,adenosina,farmacias araujo,Brasil,natus gerin con,,,capsula,50.0,C01,0
11992,geriaton con 30 capsulas,277.23,20/07/2023 11:00,araujo,adenosina,farmacias araujo,Brasil,geriaton con,,,capsula,30.0,C01,0
11993,adenorythm inj.sol 3mgml btx6 viales x2 ml,220.42,20/07/2023 11:00,minsalgr,adenosina,ministerio salud grecia,Grecia,adenorythm inj.sol,2.0,ml,solucion,1.0,C01,0
11994,adenorythm sol.inf 3mgml btx6 vialesx10 ml,1024.76,20/07/2023 11:00,minsalgr,adenosina,ministerio salud grecia,Grecia,adenorythm sol.inf,10.0,ml,solucion,1.0,C01,0
12016,afanat 40mg frasco de 28 tabletas,1158.07,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,afanat,40.0,mg,tableta,28.0,L01,0
12017,xovoltib 40 mg tira de 7 tabletas,3033.45,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,xovoltib,40.0,mg,tableta,7.0,L01,0
12018,xovoltib 50 mg tableta 7 s,3365.42,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,xovoltib,50.0,mg,tableta,7.0,L01,0
12019,xovoltib 20mg tableta 7 s,2823.07,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,xovoltib,20.0,mg,tableta,7.0,L01,0
12020,tableta de 400 mg de imanib,530.95,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,tableta de,400.0,mg,tableta,,L01,0
12021,altanib nova 400mg tab 10s,497.04,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,altanib nova,400.0,mg,tableta,10.0,L01,0
12022,apotinib 400mg tab 10s,555.38,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,apotinib,400.0,mg,tableta,10.0,L01,0
12023,combinib 250mg tableta 30 s,1538.6,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,combinib,250.0,mg,tableta,30.0,L01,0
12024,nutab 400mg tira de 10 tabletas,579.45,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,nutab,400.0,mg,tableta,10.0,L01,0
12025,tableta de 250 mg de getinat,1213.61,20/07/2023 11:05,pharmeasy,afatinib,pharmeasy,India,tableta de,250.0,mg,tableta,,L01,0
12038,isdin fps 50  gel crema tubo con 50 ml,341.25,20/07/2023 11:06,farmalisto_mx,alogliptina,farmalisto méxico,Mexico,isdin fps,50.0,ml,crema,50.0,A10,0
12057,nesina,3604.84,20/07/2023 11:09,pchecker,alogliptina,canadianprescriptiondrugstore.com/,Canada,nesina,6.0,mg,QTY,84.0,A10,0
12058,nesina,3806.04,20/07/2023 11:09,pchecker,alogliptina,pricepropharmacy.com/,Canada,nesina,6.0,mg,tableta,28.0,A10,0
12059,nesina,11418.12,20/07/2023 11:09,pchecker,alogliptina,pricepropharmacy.com/,Canada,nesina,6.0,mg,tableta,84.0,A10,0
12060,aloja m tira de 10 comprimidos,18.01,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,aloja m tira de,,,tableta,10.0,A10,0
12061,aloja 25mg tira de 10 comprimidos,29.85,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,aloja,25.0,mg,tableta,10.0,A10,0
12062,aloja 12 5mg tira de 10 comprimidos,19.91,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,aloja,5.0,mg,tableta,12.0,A10,0
12063,aloja m frasco de 60 comprimidos,108.09,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,aloja m frasco de,,,tableta,60.0,A10,0
12064,aloja m forte frasco de 60 comprimidos,131.17,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,aloja m forte frasco de,,,tableta,60.0,A10,0
12065,aloja m forte tira de 10 comprimidos,21.86,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,aloja m forte tira de,,,tableta,10.0,A10,0
12066,tegliptin 20mg tab 15 s,33.48,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,tegliptin,20.0,mg,tableta,15.0,A10,0
12067,dynaglipt tira de 10 tabletas,16.44,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,dynaglipt tira de,,,tableta,10.0,A10,0
12068,axegliptina tableta 10 s,30.85,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,axegliptina tableta,,,tableta,10.0,A10,0
12069,nolgliptina 20mg tableta 10 s,22.42,20/07/2023 11:10,pharmeasy,alogliptina,pharmeasy,India,nolgliptina,20.0,mg,tableta,10.0,A10,0
12070,vipidia,784.25,20/07/2023 11:10,medicinpriser,alogliptina,medicinpriser,Dinamarca,vipidia,,mg,ampolleta,28.0,A10,0
12071,vipidia,784.25,20/07/2023 11:10,medicinpriser,alogliptina,medicinpriser,Dinamarca,vipidia,,mg,ampolleta,28.0,A10,0
12072,vipidia,2637.01,20/07/2023 11:10,medicinpriser,alogliptina,medicinpriser,Dinamarca,vipidia,,mg,ampolleta,98.0,A10,0
12073,vipidia,784.25,20/07/2023 11:10,medicinpriser,alogliptina,medicinpriser,Dinamarca,vipidia,25.0,mg,ampolleta,28.0,A10,0
12074,vipidia,2615.99,20/07/2023 11:10,medicinpriser,alogliptina,medicinpriser,Dinamarca,vipidia,25.0,mg,ampolleta,98.0,A10,0
12075,vipidia,2618.8,20/07/2023 11:10,medicinpriser,alogliptina,medicinpriser,Dinamarca,vipidia,25.0,mg,ampolleta,98.0,A10,0
12076,nesina 625 mg com rev ct bl al al x 30,217.04,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina,625.0,mg,tableta,30.0,A10,0
12077,nesina 125 mg com rev ct bl al  al x 30,434.08,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina,125.0,mg,tableta,30.0,A10,0
12078,nesina 25mg com rev ct bl al  al x 10,281.3,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina,25.0,mg,tableta,10.0,A10,0
12079,nesina 25mg com rev ct bl al  al x 30,844.08,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina,25.0,mg,tableta,30.0,A10,0
12080,nesina met 125  5000 mg com rev ct bl al al x 60,856.64,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina met,5000.0,mg,tableta,125.0,A10,0
12081,nesina met 125  10000 mg com rev ct bl al al x 60,856.64,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina met,10000.0,mg,tableta,125.0,A10,0
12082,nesina met 125  8500 mg com rev ct bl al al x 10,142.81,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina met,8500.0,mg,tableta,125.0,A10,0
12083,nesina met 125  8500 mg com rev ct bl al al x 60,856.64,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina met,8500.0,mg,tableta,125.0,A10,0
12084,nesina pio 250  150 mg com rev ct bl al al x 30,850.61,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina pio,150.0,mg,tableta,250.0,A10,0
12085,nesina pio 250  300 mg com rev ct bl al al x 10,283.58,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina pio,300.0,mg,tableta,250.0,A10,0
12086,nesina pio 250  300 mg com rev ct bl al al x 30,850.61,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina pio,300.0,mg,tableta,250.0,A10,0
12087,nesina pio 250  450 mg com rev ct bl al al x 30,1035.04,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina pio,450.0,mg,tableta,250.0,A10,0
12088,nesina pio 250  150 mg com rev ct bl al al x 30,850.61,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina pio,150.0,mg,tableta,250.0,A10,0
12089,nesina pio 250  300 mg com rev ct bl al al x 10,283.58,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina pio,300.0,mg,tableta,250.0,A10,0
12090,nesina pio 250  300 mg com rev ct bl al al x 30,850.61,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina pio,300.0,mg,tableta,250.0,A10,0
12091,nesina 125 mg com rev ct bl al  al x 30,434.08,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina,125.0,mg,tableta,30.0,A10,0
12092,nesina 25mg com rev ct bl al  al x 10,281.3,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina,25.0,mg,tableta,10.0,A10,0
12093,nesina 25mg com rev ct bl al  al x 30,844.08,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina,25.0,mg,tableta,30.0,A10,0
12094,nesina met 125  10000 mg com rev ct bl al al x 60,856.64,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina met,10000.0,mg,tableta,125.0,A10,0
12095,nesina met 125  8500 mg com rev ct bl al al x 10,142.81,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina met,8500.0,mg,tableta,125.0,A10,0
12096,nesina met 125  8500 mg com rev ct bl al al x 60,856.64,20/07/2023 11:11,avisa,alogliptina,agencia nacional de vigilancia sanitaria brasil,Brasil,nesina met,8500.0,mg,tableta,125.0,A10,0
12097,nesin 25mg con 30 pastillas,424.64,20/07/2023 11:11,araujo,alogliptina,farmacias araujo,Brasil,nesin,25.0,mg,tableta,30.0,A10,0
12098,nesin 125mg con 30 comprimidos recubiertos,526.42,20/07/2023 11:11,araujo,alogliptina,farmacias araujo,Brasil,nesin,125.0,mg,tableta,30.0,A10,0
12099,nesin met 125mg 1000mg con 60 comprimidos recubiertos,466.75,20/07/2023 11:11,araujo,alogliptina,farmacias araujo,Brasil,nesin met,125.0,mg,tableta,60.0,A10,0
12100,nesina pio 25mg 30mg con 30 pastillas,679.44,20/07/2023 11:11,araujo,alogliptina,farmacias araujo,Brasil,nesina pio,25.0,mg,tableta,30.0,A10,0
12101,nesina pio 25mg 15mg con 30 pastillas,712.43,20/07/2023 11:11,araujo,alogliptina,farmacias araujo,Brasil,nesina pio,25.0,mg,tableta,30.0,A10,0
12102,nesina met 125mg 850mg con 60 pastillas,463.24,20/07/2023 11:11,araujo,alogliptina,farmacias araujo,Brasil,nesina met,125.0,mg,tableta,60.0,A10,0
12104,vipdomet f.c.tab 1251000mgtab btx56 pctfepvcblister de aluminio,645.69,20/07/2023 11:11,minsalgr,alogliptina,ministerio salud grecia,Grecia,vipdomet f.c.tab,1251000.0,mg,tableta,56.0,A10,0
12105,vipdomet f.c.tab 125850mgtab btx56 pctfepvcblister de aluminio,645.31,20/07/2023 11:11,minsalgr,alogliptina,ministerio salud grecia,Grecia,vipdomet f.c.tab,125850.0,mg,tableta,56.0,A10,0
12106,vipidia f.c.tab 125 mgtab btx28 pctfepvcblister de aluminio,335.89,20/07/2023 11:11,minsalgr,alogliptina,ministerio salud grecia,Grecia,vipidia f.c.tab,,mg,tableta,28.0,A10,0
12107,vipidia f.c.tab 25mgtab btx28 pctfepvcblister de aluminio,645.31,20/07/2023 11:11,minsalgr,alogliptina,ministerio salud grecia,Grecia,vipidia f.c.tab,25.0,mg,tableta,28.0,A10,0
12108,vipidia f.c.tab 625 mgtab btx28 pctfepvcblister de aluminio,253.84,20/07/2023 11:11,minsalgr,alogliptina,ministerio salud grecia,Grecia,vipidia f.c.tab,,mg,tableta,28.0,A10,0
12111,vipdomet,671.22,20/07/2023 11:11,zva,alogliptina,agencia de medicamentos de letonia,Letonia,vipdomet,12.5,mg,tableta,,A10,0
12112,vipdomet,669.53,20/07/2023 11:11,zva,alogliptina,agencia de medicamentos de letonia,Letonia,vipdomet,12.5,mg,tableta,,A10,0
12113,vipidia,372.88,20/07/2023 11:11,zva,alogliptina,agencia de medicamentos de letonia,Letonia,vipidia,12.5,mg,tableta,,A10,0
12114,vipidia,632.73,20/07/2023 11:11,zva,alogliptina,agencia de medicamentos de letonia,Letonia,vipidia,25.0,mg,tableta,,A10,0
12116,misoprostol 200 mcg con 28 tabletas,590.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,misoprostol,,,tableta,200.0,C01,0
12117,electrolit mora azul 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit mora azul,625.0,ml,,,C01,0
12118,electrolit uva 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit uva,625.0,ml,,,C01,0
12119,lyrica 50mg 28 caps,975.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,lyrica,50.0,mg,capsula,28.0,C01,0
12120,garbican 75mg 28 caps,420.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,garbican,75.0,mg,capsula,28.0,C01,0
12121,tradol retard 50mg 30 tabs,975.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,tradol retard,50.0,mg,tableta,30.0,C01,0
12122,electrolit lima limon 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit lima limon,625.0,ml,,,C01,0
12123,yza ibuprofeno 800mg 10 tabs,44.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,yza ibuprofeno,800.0,mg,tableta,10.0,C01,0
12124,electrolit fresa kiwi 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit fresa kiwi,625.0,ml,,,C01,0
12125,postday levonorgestrel 1.5mg caja con 1 comprimidos,103.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,postday levonorgestrel,1.5,mg,tableta,1.0,C01,0
12126,electrolit horchata 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit horchata,625.0,ml,,,C01,0
12127,electrolit manzana 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit manzana,625.0,ml,,,C01,0
12128,electrolit coco 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit coco,625.0,ml,,,C01,0
12129,electrolit mza 1000 ml d435,31.5,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit mza,1000.0,ml,,435.0,C01,0
12130,yza paracetamol 500mg 20 tabs,26.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,yza paracetamol,500.0,mg,tableta,20.0,C01,0
12131,ilimit 244 comprimidos 3mg0.02mg,279.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,ilimit,0.02,mg,tableta,244.0,C01,0
12132,electrolit naranja mandarina 625ml,22.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,electrolit naranja mandarina,625.0,ml,,,C01,0
12133,sal de uvas manzana 10 sobres,46.0,20/07/2023 11:13,farmacon,alprostadil,farmacon,Mexico,sal de uvas manzana,,,sobre,10.0,C01,0
12136,gorra prostasafe,41.14,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,gorra prostasafe,,,,,C01,0
12137,tableta de alprodina 300 mg,8.43,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,tableta de alprodina,300.0,mg,tableta,,C01,0
12138,tableta de 150 mg de alprodina,1.44,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,tableta de,150.0,mg,tableta,,C01,0
12139,tableta de alfuprost d,34.97,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,tableta de alfuprost d,,,tableta,,C01,0
12140,aprostat 5 lac inyeccion,283.47,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,aprostat,,,inyeccion,5.0,C01,0
12141,tableta de alproxeno 200mg,10.03,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,tableta de alproxeno,200.0,mg,tableta,,C01,0
12142,alphadol 0 capsula de 5 mcg,23.64,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,alphadol,,,capsula,0.0,C01,0
12143,alphadol 0 capsula de 25 mcg,24.66,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,alphadol,,,capsula,0.0,C01,0
12144,travoprostin t solucion oftalmica 5ml,141.93,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,travoprostin t solucion oftalmica,5.0,ml,solucion,1.0,C01,0
12145,avoprost 8mg cap 10s,55.95,20/07/2023 11:16,pharmeasy,alprostadil,pharmeasy,India,avoprost,8.0,mg,capsula,10.0,C01,0
12152,muse,2184.15,20/07/2023 11:16,medicinpriser,alprostadil,medicinpriser,Dinamarca,muse,500.0,mikrogram,,6.0,C01,0
12153,muse,2184.15,20/07/2023 11:16,medicinpriser,alprostadil,medicinpriser,Dinamarca,muse,1000.0,mikrogram,,6.0,C01,0
12154,prostivas,13696.89,20/07/2023 11:16,medicinpriser,alprostadil,medicinpriser,Dinamarca,prostivas,,mg/ml,,5.0,C01,0
12155,vitaros,1355.21,20/07/2023 11:16,medicinpriser,alprostadil,medicinpriser,Dinamarca,vitaros,300.0,mikrogram,crema,4.0,C01,0
12158,prostavasin 20mcg inyectable con 10 ampollas sin diluyente,4113.32,20/07/2023 11:16,araujo,alprostadil,farmacias araujo,Brasil,prostavasin,,,inyeccion,10.0,C01,0
12160,prostin vr inj.sol 0.5mg1ml amp bt x 5 amp x 1 ml,4760.71,20/07/2023 11:17,minsalgr,alprostadil,ministerio salud grecia,Grecia,prostin vr inj.sol,1.0,ml,solucion,1.0,C01,0
12161,vitaros crema 3mgg btx4 1 sobre x1 aplicador accudose  x 100mg,790.63,20/07/2023 11:17,minsalgr,alprostadil,ministerio salud grecia,Grecia,vitaros crema,100.0,mg,crema,4.0,C01,0
12164,muse 1000 microgramos barra uretral,437.28,20/07/2023 11:17,zva,alprostadil,agencia de medicamentos de letonia,Letonia,muse,1000.0,mcg,,1000.0,C01,0
12165,muse 500 microgramos barra uretral,274.31,20/07/2023 11:17,zva,alprostadil,agencia de medicamentos de letonia,Letonia,muse,500.0,mcg,,500.0,C01,0
12166,vasostenoon 20 microgramosml concentrado para solucion para perfusion,3205.91,20/07/2023 11:17,zva,alprostadil,agencia de medicamentos de letonia,Letonia,vasostenoon,20.0,micrograms,solucion,20.0,C01,0
12167,volebris 10 mg caja con 30 tabletas,49572.0,20/07/2023 11:17,farmalisto_mx,ambrisentan,farmalisto méxico,Mexico,volebris,10.0,mg,tableta,30.0,C02,0
12169,volebris 10mg tab caja con 30,49574.03,20/07/2023 11:18,fespecializadas,ambrisentan,farmacias especializadas,Mexico,volebris,10.0,mg,tableta,30.0,C02,0
12170,volebris 5mg tab caja con 30,48130.13,20/07/2023 11:18,fespecializadas,ambrisentan,farmacias especializadas,Mexico,volebris,5.0,mg,tableta,30.0,C02,0
12171,volibris 5 mg caja con 30 tabletas,11804.42,20/07/2023 11:20,audifarma,ambrisentan,audifarma,Colombia,volibris,5.0,mg,tableta,30.0,C02,0
12172,volibris 10 mg caja con 30 tabletas,22133.29,20/07/2023 11:20,audifarma,ambrisentan,audifarma,Colombia,volibris,10.0,mg,tableta,30.0,C02,0
12173,tableta de 5 mg de ambrican,490.07,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,tableta de,5.0,mg,tableta,,C02,0
12174,pulmonext tableta de 5 mg,359.58,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,pulmonext tableta de,5.0,mg,tableta,,C02,0
12175,tableta de 5 mg de zambri,298.26,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,tableta de,5.0,mg,tableta,,C02,0
12176,tableta endobloc 5mg,376.28,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,tableta endobloc,5.0,mg,tableta,,C02,0
12177,tableta pulmonext 10mg,582.78,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,tableta pulmonext,10.0,mg,tableta,,C02,0
12178,tableta endobloc 10mg,615.57,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,tableta endobloc,10.0,mg,tableta,,C02,0
12179,kit pulmonext 20s,359.58,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,kit pulmonext,,,,20.0,C02,0
12180,tableta de volibris 5mg,507.97,20/07/2023 11:21,pharmeasy,ambrisentan,pharmeasy,India,tableta de volibris,5.0,mg,tableta,,C02,0
