nombre_producto,sustancia,forma_farm,lab,presentacion
accogard,pravastatina,tabletas,accord farma,"1 caja,10 tabletas,40 mg"
accogard,pravastatina,tabletas,accord farma,"1 caja,10 tabletas,20 mg"
accogard,pravastatina,tabletas,accord farma,"1 frasco,100 tabletas,20 mg"
accogard,pravastatina,tabletas,accord farma,"1 frasco,100 tabletas,10 mg"
accogard,pravastatina,tabletas,accord farma,"1 caja,15 tabletas,10 mg"
accogard,pravastatina,tabletas,accord farma,"1 caja,15 tabletas,20 mg"
accogard,pravastatina,tabletas,accord farma,"1 caja,20 tabletas,20 mg"
accogard,pravastatina,tabletas,accord farma,"1 caja,20 tabletas,10 mg"
accogard,pravastatina,tabletas,accord farma,"1 caja,30 tabletas,20 mg"
accogard,pravastatina,tabletas,accord farma,"1 caja,30 tabletas,10 mg"
accogard,pravastatina,tabletas,accord farma,"1 frasco,30 tabletas,10 mg"
accogard,pravastatina,tabletas,accord farma,"1 frasco,50 tabletas,20 mg"
accogard,pravastatina,tabletas,accord farma,"1 frasco,50 tabletas,10 mg"
accogard,pravastatina,tabletas,accord farma,"1 frasco,60 tabletas,10 mg"
accogard,pravastatina,tabletas,accord farma,"1 frasco,60 tabletas,20 mg"
accogem,gemcitabina,polvo esteril liofilizado,accord farma,"1 caja , 1 frasco ampula con liofilizado , 1  gramos"
accogem,gemcitabina,polvo esteril liofilizado,accord farma,"1 caja , 1 frasco ampula con liofilizado , 200  miligramos"
accolate,zafirlukast,tabletas,astrazeneca,"1 caja,14 tabletas,10 mg"
accolate,zafirlukast,tabletas,astrazeneca,"1 caja,14 tabletas,20 mg"
accolate,zafirlukast,tabletas,astrazeneca,"1 caja,28 tabletas,10 mg"
accolate,zafirlukast,tabletas,astrazeneca,"1 caja,28 tabletas,20 mg"
accolate,zafirlukast,tabletas,astrazeneca,"1 caja,30 tabletas,10 mg"
accolate,zafirlukast,tabletas,astrazeneca,"1 caja,30 tabletas,20 mg"
accolok,losartan,tabletas,accord farma,"1 caja,15 tabletas,25 mg"
accolok,losartan,tabletas,accord farma,"1 caja,15 tabletas,100 mg"
accolok,losartan,tabletas,accord farma,"1 caja,15 tabletas,50 mg"
accolok,losartan,tabletas,accord farma,"1 caja,30 tabletas,100 mg"
accolok,losartan,tabletas,accord farma,"1 caja,30 tabletas,25 mg"
accolok,losartan,tabletas,accord farma,"1 caja,30 tabletas,50 mg"
accua aseptic,dialil oxido de disulfuro modificado,solucion,cellpharma,"1 frasco(s), 240 ml,"
accua aseptic,dialil oxido de disulfuro modificado,solucion,cellpharma,"1 frasco(s), 5 ml,"
accua aseptic,dialil oxido de disulfuro modificado,solucion,cellpharma,"1 frasco(s), 60 ml,"
accua aseptic hp,dialil oxido de disulfuro modificado,solucion,cellpharma,"5 l,"
aceler,"fusidico, acido",crema,senosiain,"1 caja, 1 tubo, 10 g,"
aceler,"fusidico, acido",crema,senosiain,"1 caja, 1 tubo, 15 g,"
aceler,"fusidico, acido",crema,senosiain,"1 caja, 1 tubo, 30 g,"
aceler co,"betametasona,                                fusidico, acido",crema,senosiain,"15 g,"
aceler co,"betametasona,                                fusidico, acido",crema,senosiain,"30 g,"
acepter,memantina,tabletas,psicofarma,"1 caja, 14 tabletas recubiertas, 10 miligramos"
acepter,memantina,tabletas,psicofarma,"1 caja, 28 tabletas recubiertas, 10 miligramos"
acepter,memantina,tabletas,psicofarma,"1 caja, 56 tabletas recubiertas, 10 miligramos"
aceta diazol,acetazolamida,tabletas,laboratorios grin,"1 frasco(s), 30 tabletas, 250 miligramos"
acetraz,anastrozol,tabletas recubiertas,accord farma,"1 caja, 28 tabletas,"
acglicolic 20,"acido glicolico,                                acido hialuronico (hialuronato),                                bisabolol",crema gel hidratante,sesderma mexico,
acglicolic classic,"acetato de vitamina e,                                acido glicolico,                                aloe vera",crema gel forte,sesderma mexico,
acglicolic classic,"acetato de vitamina e,                                acido glicolico,                                hidratantes",crema hidratante,sesderma mexico,
acglicolic liposomal serum,"acido glicolico,                                acido hialuronico (hialuronato),                                extracto de boswellia",suero liposomado,sesderma mexico,
acglicolic s,"acido glicolico,                                bisabolol,                                hammamelis, agua de",gel hidratante,sesderma mexico,
aciclovir,aciclovir,tabletas,amsa,"1 caja, 35 tabletas, 400 miligramos"
acido acetilsalicilico,acido acetilsalicilico,tabletas efervescentes,amsa,"1 caja, 20 tabletas efervescentes, 300 miligramos"
acido alendronico,"alendronico, acido",tabletas,amsa,"1 caja, 30 tabletas, 10 miligramos"
acido alendronico,"alendronico, acido",tabletas,amsa,"1 caja, 4 tabletas, 70 miligramos"
acido ascorbico,acido ascorbico,solucion inyectable,amsa,"1 caja, 6 ampolleta(s), 1/10 g/ml"
acido hialuronico serum facial antiedad,"acido hialuronico,                                vitamina a,                                vitamina c,                                vitamina e (alfa-tocoferol)",suero facial,farmapiel,"1 frasco(s), 30 ml,"
acido ursodeoxicolico,acido ursodeoxicolico,capsulas,amsa,"1 caja, 50 capsulas, 250 miligramos"
acimox,amoxicilina,capsulas,diba,
acimox,amoxicilina,suspension,diba,
acistikno,cisplatino,solucion inyectable,biogentec,"1 caja, 1 frasco(s) ampula, 10/10 mg/ml"
aclarium,azitromicina,tabletas,weser pharma,"1 caja, 3 tabletas, 500 mg"
aclarium,azitromicina,tabletas,weser pharma,"1 caja, 4 tabletas, 500 mg"
aclarium,azitromicina,tabletas,weser pharma,"1 caja, 5 tabletas, 500 mg"
aclasta,acido zoledronico,solucion,sandoz,"1 caja, 1 frasco(s), 100 ml, 5/100 mg/ml"
aclimafel,veraliprida,capsulas,carnot,"1 caja, 20 capsulas , 100 mg,"
aclosin,clonixinato de lisina,solucion inyectable,biogentec,"1 caja , 5 ampolleta(s) , 2 ml"
aclosin,clonixinato de lisina,solucion inyectable,biogentec,"1 caja , 5 jeringa(s) prellenada(s) , 2 ml"
acnaid crema hidratante,"acido salicilico,                                glicerina,                                isoparafina c13-14",crema hidratante,stiefel,"1 envase , 50 g"
acnaid espuma,"acido citrico,                                fragancias,                                glicerina",espuma,stiefel,"1 envase , 125 ml"
acnaid exfoliante,"acido citrico,                                goma xantana,                                parafina",no especificado,stiefel,"1 caja , 1 tubo , 60 g"
acnaid exfoliante,"acido citrico,                                goma xantana,                                parafina",exfoliante,stiefel,
acnaid jabon,"acido etidronico,                                agua,                                almendra de palma sodica,                                cloruro de sodio usp,                                decil poliglucosa,                                edta tetrasodico,                                eter de metil glucosa,                                glicerina, aceite de,                                sodio, hidroxido de,                                sodio, sebato de",jabon,stiefel,"jabon,100 g"
acnaid wash,"acrilato crospolimero,                                agua,                                cloruro de magnesio,                                cloruro de sodio,                                cocamidopropilbetano,                                edta disodico,                                glicerina,                                glicol, diestearato de,                                hidantoina,                                imidazolidinil-urea,                                metilisotiazolinona,                                miristico, acido,                                oliva, aceite de,                                parafina liquida ligera,                                peg-7 (cocoato de glicerilo),                                sodio, hidroxido de,                                sodio, lauroil sarcosinato de,                                sorbitan",locion,stiefel,"1 locion , 150  mililitros"
acnipop,"acido salicilico,                                alantoina,                                aloe vera,                                zinc pca",barra dermolimpiadora,glenmark pharmaceuticals,"1 barra, 90 g,"
acnipop face wash,"acido salicilico,                                alantoina,                                aloe vera,                                zinc pca",jabon liquido dermolimpiador,glenmark pharmaceuticals,"1 frasco(s), 250 ml,"
acnomel,resorcinol,crema,darier,"1 caja,1 tubo,30 g,"
acocarb,dacarbazina,solucion inyectable,accord farma,"1 caja,1 frasco(s) ampula con liofilizado,100 mg,"
acocarb,dacarbazina,solucion inyectable,accord farma,"1 caja,1 frasco(s) ampula con liofilizado,200 mg,"
acoexcel,paclitaxel,solucion inyectable,accord farma,"1 caja , 1 frasco(s) ampula , 100/16.7  mg/ml"
acoexcel,paclitaxel,solucion inyectable,accord farma,"1 caja , 1 frasco(s) ampula , 30/5  mg/ml"
acoexcel,paclitaxel,solucion inyectable,accord farma,"1 caja , 1 frasco(s) ampula , 300/50  mg/ml"
acoexcel,paclitaxel,solucion inyectable,accord farma,"1 caja,1 frasco(s) ampula,300 mg,"
acoflut,fluorouracilo,solucion inyectable,accord farma,"1 caja,5 frasco(s) ampula,250/5 mg/ml"
acoflut,fluorouracilo,solucion inyectable,accord farma,"1 caja,10 frasco(s) ampula,250/5 mg/ml"
acomexol,crotamiton,crema,armstrong,"1 caja, 1 tubo, 30 g,"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,10 tabletas,600 mg"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,10 tabletas,800 mg"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,15 tabletas,800 mg"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,15 tabletas,600 mg"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,20 tabletas,600 mg"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,20 tabletas,800 mg"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,30 tabletas,800 mg"
aconeuba,gabapentina,tabletas recubiertas,accord farma,"1 caja,30 tabletas,600 mg"
acoplasic,carboplatino,solucion inyectable,accord farma,"1 caja,1 frasco(s) ampula,150/15 mg/ml"
acoplasic,carboplatino,solucion inyectable,accord farma,"1 caja,1 frasco(s) ampula,450/45 mg/ml"
acoplasic,carboplatino,solucion inyectable,accord farma,"1 caja,1 frasco(s) ampula,50/5 mg/ml"
acortral,sertralina,tabletas recubiertas,accord farma,"1 caja, 14 tabletas recubiertas, 50 miligramos"
acortral,sertralina,tabletas recubiertas,accord farma,"1 caja, 28 tabletas recubiertas, 50 miligramos"
acortral,sertralina,tabletas recubiertas,accord farma,"1 caja, 30 tabletas recubiertas, 50 miligramos"
acortral,sertralina,tabletas recubiertas,accord farma,"1 caja, 50 tabletas recubiertas, 50 miligramos"
acortral,sertralina,tabletas recubiertas,accord farma,"1 caja, 7 tabletas recubiertas, 50 miligramos"
acromicina,tetraciclina,tabletas,pfizer,"1 caja, 20 tabletas, 250 miligramos"
acrylarm,"poliacrilico, acido",gel oftalmico,italmex,"1 caja, 1 tubo, 10 g,"
actikerall,"fluorouracilo,                                salicilico, acido",solucion,almirall,"1 caja,1 frasco(s),25 ml,"
actilyse,alteplasa,solucion inyectable,boehringer ingelheim,"1 caja, 2 frasco ampula con liofilizado y ampolleta de diluyente,"
actiman,"complementos nutricionales,                                condroitin",comprimidos,biofarma,"1 caja,1 frasco(s),30 comprimidos,"
actiman,"complementos nutricionales,                                condroitin",comprimidos,biofarma,"1 caja,1 frasco(s),60 comprimidos,"
actiman,"complementos nutricionales,                                condroitin",comprimidos,biofarma,"1 caja,1 frasco(s),90 comprimidos,"
actinium,oxcarbazepina,suspension,armstrong,"1 caja, 1 frasco con pipeta dosificadora, 120 ml, 300/5 mg/ml"
actinium,oxcarbazepina,suspension,armstrong,"1 caja, 1 frasco con pipeta dosificadora, 120 ml, 6/100 g/ml"
actinium,oxcarbazepina,tabletas,armstrong,"1 caja, 20 tabletas, 300 miligramos"
actinium,oxcarbazepina,tabletas,armstrong,"1 caja, 20 tabletas, 600 miligramos"
active c,"acido ascorbico (vitamina c),                                acido citrico,                                ciclopentasiloxano,                                glicerina,                                propilenglicol",crema,la roche-posay laboratoire dermatologique,"1 tubo, 30 ml,"
active c contorno de ojos,"emolientes,                                hidratantes",crema,la roche-posay laboratoire dermatologique,15 ml
active c xl,"emolientes,                                hidratantes,                                protectores solares",crema,la roche-posay,
active c xl fluido,"emolientes,                                hidratantes,                                protectores solares",crema,la roche-posay,
active c xl fluido,"emolientes,                                hidratantes,                                protectores solares",crema dermica,la roche-posay laboratoire dermatologique,
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 10 capsulas de gelatina blanda , 200  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 10 capsula(s) de gelatina blanda , 400  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 10 capsula(s) de gelatina blanda , 600  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 20 capsulas de gelatina blanda , 400  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 20 capsulas de gelatina blanda , 200  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 20 capsula(s) de gelatina blanda , 600  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja, 10 capsulas , 200 mg,"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 30 capsula(s) de gelatina blanda , 200  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 30 capsula(s) de gelatina blanda , 400  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 30 capsulas de gelatina blanda , 600  miligramos"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja, 30 capsulas , 400 mg,"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja, 10 capsulas , 400 mg,"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja, 10 capsulas , 600 mg,"
actron,ibuprofeno,capsulas,bayer de mexico,"1 caja, 30 capsulas , 600 mg,"
actron,ibuprofeno,suspension,bayer de mexico,"1 frasco(s) , 120 ml"
actron,ibuprofeno,gel,bayer de mexico,"1 caja, 1 tubo, 50 g,"
actron,ibuprofeno,suspension pediatrica,bayer de mexico,"1 caja, 1 frasco(s), 15 ml,"
actron plus,"cafeina,                                ibuprofeno",capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 10 capsulas , 400/100  mg/mg"
actron plus,"cafeina,                                ibuprofeno",capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 20 capsulas , 400/100  mg/mg"
actron plus,"cafeina,                                ibuprofeno",capsulas,bayer de mexico,"1 caja , 1 envase(s) de burbuja , 30 capsulas , 400/100  mg/mg"
actron plus,"cafeina,                                ibuprofeno",capsulas,bayer de mexico,"1 caja, 10 capsulas , 400 mg, 100 miligramos"
acuafil ofteno,"polivinilico, alcohol",solucion,sophia,"1 caja, 1 solucion , 14 mg,"
acuafil ofteno,"polivinilico, alcohol",solucion,sophia,"1 caja,1 frasco gotero,15 ml,"
acudopik sdp,olanzapina,tabletas ranuradas orodispersables,psicofarma,"1 caja, 14 tabletas, 5 miligramos"
acudopik sdp,olanzapina,tabletas ranuradas orodispersables,psicofarma,"1 caja, 14 tabletas, 10 miligramos"
acudopik sdp,olanzapina,tabletas ranuradas orodispersables,psicofarma,"1 caja, 28 tabletas, 10 miligramos"
acudopik sdp,olanzapina,tabletas ranuradas orodispersables,psicofarma,"1 caja, 28 tabletas, 5 miligramos"
acudopik sdp,olanzapina,tabletas ranuradas orodispersables,psicofarma,"1 caja, 7 tabletas, 10 miligramos"
acularen / acularen ls,ketorolaco trometamina,solucion oftalmica esteril,allergan,"1 caja , 30 ampolleta(s) , 0.4 ml , 0.45  porcentaje"
acularen / acularen ls,ketorolaco trometamina,solucion oftalmica esteril,allergan,"1 caja , 1 frasco(s) , 10 ml , 0.5  porcentaje"
acularen / acularen ls,ketorolaco trometamina,solucion oftalmica esteril,allergan,"1 caja , 1 frasco(s) , 5 ml , 0.4  porcentaje"
acularen / acularen ls,ketorolaco trometamina,solucion oftalmica esteril,allergan,"1 caja , 1 frasco(s) , 5 ml , 0.5  porcentaje"
acularen,ketorolaco trometamina,solucion,allergan,"1 caja, 30 ampolleta(s), 0.4 ml, 0.45 porcentaje"
acularen,ketorolaco trometamina,solucion,allergan,"1 caja, 1 frasco(s), 10 ml, 0.5 porcentaje"
acularen,ketorolaco trometamina,solucion,allergan,"1 caja, 1 frasco(s), 5 ml, 0.4 porcentaje"
acularen,ketorolaco trometamina,solucion,allergan,"1 caja, 1 frasco(s), 5 ml, 0.5 porcentaje"
acularen,ketorolaco trometamina,solucion oftalmica,allergan,"1 caja, 30 ampolleta(s), 0.4 ml, 0.45 porcentaje"
acularen,ketorolaco trometamina,solucion oftalmica,allergan,"1 caja, 1 frasco(s), 10 ml, 0.5 porcentaje"
acularen,ketorolaco trometamina,solucion oftalmica,allergan,"1 caja, 1 frasco(s), 5 ml, 0.4 porcentaje"
acularen,ketorolaco trometamina,solucion oftalmica,allergan,"1 caja, 1 frasco(s), 5 ml, 0.5 porcentaje"
acupril,quinapril,tabletas,pfizer,"1 caja , 14 tabletas , 20  miligramos"
acupril,quinapril,tabletas,pfizer,"1 caja , 21 tabletas , 40  miligramos"
acupril,quinapril,tabletas,pfizer,"1 caja , 21 tabletas , 20  miligramos"
acupril,quinapril,tabletas,pfizer,"1 caja , 21 tabletas , 10  miligramos"
acutears,"carboximetilcelulosa,                                carmelosa de sodio",solucion oftalmica,italmex,"1 caja, 1 frasco gotero, 10 ml,"
acutears plus,carmelosa de sodio,solucion,italmex,"1 caja, 1 frasco con gotero, 10 ml,"
acvonda,metotrexato,tabletas,accord farma,"1 caja, 100 tabletas,"
acvonda,metotrexato,tabletas,accord farma,"1 caja, 50 tabletas,"
acxion ap,fentermina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 15 tabletas, 30 miligramos"
acxion ap,fentermina,tabletas de liberacion prolongada,ifa celtics,"1 caja, 30 tabletas, 30 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 10 capsulas, 30 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 10 capsulas, 5 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 10 capsulas, 10 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 10 capsulas, 15 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 15 capsulas, 30 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 15 capsulas, 10 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 15 capsulas, 5 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 15 capsulas, 15 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 30 capsulas, 15 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 30 capsulas, 5 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 30 capsulas, 10 miligramos"
acxion c,fentermina,capsulas,ifa celtics,"1 caja, 30 capsulas, 30 miligramos"
adacelboost,"fimbrias tipo 2 y 3,                                hemaglutinina filamentosa,                                pertactina,                                toxoide difterico,                                toxoide pertussis,                                toxoide tetanico",suspension inyectable,sanofi pasteur,"1 caja, 1 frasco(s) ampula, 0.5 ml, 1 dosis"
adaferin,adapaleno,crema,galderma,"1 caja,1 tubo,30 g,"
adaferin,adapaleno,gel,galderma,"1 caja,1 tubo,30 g,"
adaferin,adapaleno,gel,galderma,"1 caja , 1 tubo , 45 g"
adaferin,adapaleno,crema dermica,galderma,
adaferin,adapaleno,gel dermico,galderma,
adaferin,adapaleno,gel y crema,galderma,
adaferin 0.3%,adapaleno,gel,galderma,"1 caja,1 tubo,45 g,"
adaferin 0.3%,adapaleno,gel dermico,galderma,
adalat,nifedipino,capsulas,bayer de mexico,"1 caja, 24 capsulas , 10 mg,"
adalat oros,nifedipino,tabletas,bayer de mexico,"1 caja , 10 tabletas , 30  miligramos"
adalat oros,nifedipino,tabletas,bayer de mexico,"1 caja,1 envase(s) de burbuja,10 tabletas,60 mg"
adalat oros,nifedipino,tabletas,bayer de mexico,"1 caja,10 tabletas,30 mg"
adalat oros,nifedipino,tabletas,bayer de mexico,"1 caja , 1 envase de burbuja (aluminio-pvc) , 10 tabletas , 60  miligramos"
adalat oros,nifedipino,tabletas,bayer de mexico,"1 caja,30 tabletas,30 mg"
adalat retard,nifedipino,tabletas,bayer,"1 caja,28 tabletas,20 mg"
adalat retard,nifedipino,tabletas,bayer,"1 caja,56 tabletas,20 mg"
adalken,penicilamina,tabletas,laboratorios kendrick,
adarex,prednisolona,solucion,italmex,"1 caja, 1 frasco(s), 100 ml, 1 mg/ml"
adarex,prednisolona,solucion,italmex,"1 caja, 1 frasco(s), 100 ml, 3 mg/ml"
adecur,terazosina,tabletas,asofarma,"1 caja, 15 tabletas, 2 mg,"
adecur,terazosina,tabletas,asofarma,"1 caja, 30 tabletas, 5 mg,"
adefaxin xr,venlafaxina,capsulas de liberacion prolongada,psicofarma,"1 caja, 10 capsulas de liberacion prolongada, 150 miligramos"
adekon,"vitamina a (retinol),                                vitamina d2 (ergocalciferol)",solucion ingerible,concordia,"1 caja, 1 ampolleta(s), 3 ml,"
adekon,"vitamina a (retinol),                                vitamina d2 (ergocalciferol)",solucion ingerible,concordia,"1 caja, 5 ampolleta(s), 3 ml,"
adekon c,"vitamina a (retinol),                                vitamina c (acido ascorbico),                                vitamina d2 (ergocalciferol)",solucion infantil,concordia,"1 frasco con gotero graduado, 15 ml,"
adel,claritromicina,suspension,senosiain,"1 caja, 1 frasco con granulos, 50 ml, 125/5 mg/ml"
adel,claritromicina,suspension,senosiain,"1 caja, 1 frasco con granulos, 50 ml, 250/5 mg/ml"
adel,claritromicina,suspension,senosiain,"1 caja, 1 frasco con granulos, 60 ml, 125/5 mg/ml"
adel,claritromicina,suspension,senosiain,"1 caja, 1 frasco con granulos, 60 ml, 250/5 mg/ml"
adel,claritromicina,tabletas,senosiain,"1 caja, 10 tabletas, 250 miligramos"
adel,claritromicina,tabletas,senosiain,"1 caja, 10 tabletas, 500 miligramos"
adelitese,acido ascorbico,tabletas,biofarma,"1 caja, 120 tabletas, 250 miligramos"
adelitese,acido ascorbico,tabletas,biofarma,"1 caja, 30 tabletas, 250 miligramos"
adelitese,acido ascorbico,tabletas,biofarma,"1 caja, 60 tabletas, 250 miligramos"
adelitese,acido ascorbico,tabletas,biofarma,"1 caja, 90 tabletas, 250 miligramos"
adelvag,sibutramina,tabletas,novag infancia,
adempas,riociguat,comprimidos,bayer de mexico,"1 caja , 42 comprimidos , 0.5  miligramos"
adempas,riociguat,comprimidos,bayer de mexico,"1 caja , 42 comprimidos , 1  miligramos"
adempas,riociguat,comprimidos,bayer de mexico,"1 caja , 42 comprimidos , 1.5  miligramos"
adempas,riociguat,comprimidos,bayer de mexico,"1 caja , 42 comprimidos , 2  miligramos"
adempas,riociguat,comprimidos,bayer de mexico,"1 caja , 42 comprimidos , 2.5  miligramos"
