clave,descr,unidad,PA
010.000.0523.00,Sales de Potasio sales de. Tableta soluble o efervescente.  Cada tableta contiene: Bicarbonato de Potasio 766 mg. Bitartrato de Potasio 460 mg. Acido Cítrico 155 mg. Envase con 50 tabletas solubles,Pieza,Sales de potasio
010.000.0524.00,"Cloruro de potasio. Solución Inyectable. Cada ampolleta contiene: Cloruro de potasio 1.49 g. (20 mEq de potasio, 20 mEq de cloro) Envase con 50 ampolletas con 10 m",Pieza,Cloruro de potasio
010.000.0527.00,Quinidina. Tableta Cada Tableta contiene: Sulfato de quinidina 200 mg Envase con 20 Tabletas.,Pieza,Quinidina
010.000.0537.00,Propafenona. Tableta Cada Tableta contiene: Clorhidrato de Propafenona 150 mg Envase con 20 Tabletas.,Pieza,Propafenona
010.000.0561.00,Clortalidona. Tableta. Cada tableta contiene: Clortalidona 50 mg Envase con 20 Tabletas.,Pieza,Clortalidona
010.000.0568.00,Diazóxido. Solución inyectable. Cada ampolleta contiene: Diazóxido 300 mg Envase con una ampolleta de 20 ml. (15 mg/m,Pieza,Diazoxido
010.000.0569.00,Nitroprusiato de sodio. Solución Inyectable Cada frasco ámpula con polvo o Solución contiene: Nitroprusiato de sodio 50 mg Envase con un frasco ámpula con o sin diluye,Pieza,Nitroprusiato de sodio
010.000.0572.00,Metoprolol. Tableta Cada Tableta contiene: Tartrato de metoprolol 100 mg Envase con 20 Tabletas.,Pieza,Metoprolol
010.000.0574.00,Captopril. Tableta Cada Tableta contiene: Captopril 25 mg Envase con 30 Tabletas.,Pieza,Captopril
010.000.0611.00,Epinefrina. Solución Inyectable Cada ampolleta contiene: Epinefrina 1 mg (1:1 000) Envase con 50 ampolletas con 1 ml,Pieza,Epinefrina
010.000.0612.00,Norepinefrina. Solución Inyectable Cada ampolleta contiene: Bitartrato de norepinefrina equivalente a 4 mg de norepinefrina. Envase con 50 ampolletas de 4 ml,Pieza,Norepinefrina
010.000.0614.00,Dopamina. Solución Inyectable Cada ampolleta contiene: Clorhidrato de dopamina 200 mg Envase con 5 ampolletas con 5 ml,Pieza,Dopamina
010.000.0623.00,Warfarina. Tableta Cada Tableta contiene: Warfarina sódica 5 mg Envase con 25 Tabletas,Pieza,Warfarina
010.000.0625.00,Protamina. Solución Inyectable Cada ampolleta de 5 mililitros contiene: Sulfato de protamina 71.5 mg Envase con ampolleta con 5 ml,Pieza,Protamina
010.000.0655.00,Bezafibrato. Tableta Cada Tableta contiene: Bezafibrato 200 mg Envase con 30 Tabletas.,Pieza,Bezafibrato
010.000.0656.00,�cido nicot�nico. Tableta Cada Tableta contiene: �cido nicot�nico 500 mg Envase con 50 Tabletas.,Pieza,Acido nicotinico
010.000.0657.00,Pravastatina. Tableta Cada Tableta contiene: Pravastatina sódica 10 mg Envase con 30 Tabletas,Pieza,Pravastatina
010.000.0804.00,�xido de zinc. Pasta Cada 100 g contienen: �xido de zinc 25. 0 g Envase con 30 g.,Pieza,Oxido de zinc
010.000.0811.00,Fluocinolona. Crema Cada g contiene: Acetónido de fluocinolona 0.1 mg Envase con 20 g,Pieza,Fluocinolona
010.000.0831.00,Alantoina y alquitrán de hulla. Suspensión Dérmica Cada ml contiene: alantoína 20.0 mg alquitrán de hulla 9.4 mg Envase con 12,Pieza,Alantoina y alquitran de hulla
010.000.0861.00,Bencilo. Emulsión Dérmica Cada ml contiene: Benzoato de bencilo 300 mg Envase con 120 m,Pieza,Bencilo
010.000.0865.00,Permetrina. Solución Cada 100 ml contienen: Permetrina 1 g Envase con 110 ml,Pieza,Permetrina
010.000.0871.00,Alibour. Polvo Cada gramo contiene: Sulfato de Cobre 177.0 mg Sulfato de Zinc 619.5 mg alcanfor 26.5 mg Envase con 12 sobres con 2.2 g.,Pieza,Alibour
010.000.0872.00,Clioquinol. Crema Cada g contiene: Clioquinol 30 mg Envase con 20 g.,Pieza,Clioquinol
010.000.0891.00,Miconazol. Crema Cada gramo contiene: Nitrato de miconazol 20 mg Envase con 20 g.,Pieza,Miconazol
010.000.0901.00,Podofilina. Solución Dérmica Cada ml contiene: Resina de podofilina 250 mg Envase con 5 m,Pieza,Podofilina
010.000.0904.00,�cido retinoico. Crema Cada 100 gramos contienen: �cido retinoico 0.05 g Envase con 20 g,Pieza,Acido retinoico
010.000.0906.00,Dapsona. Tableta Cada Tableta contiene: Dapsona 100 mg Envase con 1000 Tabletas.,Pieza,Dapsona
010.000.0909.00,Lanolina y aceite mineral. Ungüento Oftálmico Cada 100 g contiene: Lanolina 3.0 g Aceite mineral 3.0 g Envase con 4 ,Pieza,Lanolina y aceite mineral
010.000.1005.00,Tiroxina - triyodotironina. Tableta Cada tableta contiene: Tiroxina 100 µg. Triyodotironina 20 µg. Envase con 50 tableta,Pieza,Tiroxina - triyodotironina
010.000.1006.00,Calcio. Comprimido Efervescente Cada comprimido contiene: Lactato gluconato de calcio 2.94 g. Carbonato de calcio 300 mg. equivalente a 500 mg de calcio ionizable. Envase con 12 comprimidos.,Pieza,Calcio
010.000.1007.00,Levotiroxina. Tableta Cada tableta contiene: Levotiroxina sódica equivalente a 100 µg de levotiroxina sódica anhidra. Envase con 100 tablet,Pieza,Levotiroxina
010.000.1022.00,Tiamazol. Tableta Cada tableta contiene: Tiamazol 5 mg. Envase con 20 tabletas.,Pieza,Tiamazol
010.000.1041.00,Tolbutamida. Tableta Cada tableta contiene: Tolbutamida 500 mg. Envase con 50 tabletas.,Pieza,Tolbutamida
010.000.1042.00,Glibenclamida. Tableta Cada tableta contiene: Glibenclamida 5 mg. Envase con 50 tabletas.,Pieza,Glibenclamida
010.000.1062.00,Mesterolona. Tableta Cada Tableta contiene: Mesterolona 25 mg Envase con 10 Tabletas.,Pieza,Mesterolona
010.000.1093.00,Danazol. Cápsula o Comprimido Cada Cápsula o Comprimido contiene: Danazol 100 mg Envase con 50 Cápsulas o Comprimid,Pieza,Danazol
010.000.1095.00,Calcitriol. Cápsula de Gelatina blanda Cada cápsula contiene: Calcitriol 0.25 µg. Envase con 50 cápsu,Pieza,Calcitriol
010.000.1096.00,Bromocriptina. Tableta Cada Tableta contiene: Mesilato de bromocriptina equivalente a 2.5 mg de bromocriptina. Envase con 14 Tabletas.,Pieza,Bromocriptina
010.000.1098.00,Vitaminas A C y D. Solución. Cada ml contiene: Palmitato de Retinol 7000 a 9000 UI. Ácido ascórbico 80 a 125 mg. Colecalciferol 1400 a 1800 UI. Envase con 15 ,Pieza,Vitaminas a c y d
010.000.1263.00,Bismuto. Suspensión Oral Cada 100 ml contienen: Subsalicilato de bismuto 1.750 g Envase con 240 ml,Pieza,Bismuto
010.000.1271.00,Plántago psyllium. Polvo Cada 100 g contienen: Polvo de cáscara de semilla de plántago psyllium 49.7 g Envase con 400,Pieza,Plantago psyllium
010.000.1273.00,Aceite de ricino. Solución Cada envase contiene: Aceite de ricino Envase con 70 ml,Pieza,Aceite de ricino
010.000.1275.00,Magnesio. Suspensión Oral Cada 100 ml contienen: Hidróxido de magnesio 8.5 g Envase con 120 ml. (425 mg/5 ml,Pieza,Magnesio
010.000.1277.00,Fosfato y citrato de sodio. Solución. Cada 100 ml contienen: Fosfato monosódico 12 g Citrato de sodio 10 g Envase con 133 ml y cánula rect,Pieza,Fosfato y citrato de sodio
010.000.1314.00,Quinfamida. Tableta Cada Tableta contiene: Quinfamida 300 mg Envase con una Tableta.,Pieza,Quinfamida
010.000.1496.00,Estradiol-noretisterona. Tableta Cada Tableta contiene: Estradiol hemihidratado 2.0 mg Acetato de noretisterona 1.0 mg Envase con 28 Tabletas.,Pieza,Estradiol-noretisterona
010.000.1497.00,Estradiol ciproterona. Gragea Cada Gragea blanca contiene: Valerianato de estradiol 2.0 mg Cada Gragea rosa contiene: Valerianato de estradiol 2.0 mg Acetato de ciproterona 1.0 mg Envase con 21 Grageas. (11 blancas y 10 rosas).,Pieza,Estradiol ciproterona
010.000.1503.00,Mestranol. Tableta Cada Tableta contiene: Mestranol 0.080 mg Envase con 20 Tabletas.,Pieza,Mestranol
010.000.1511.00,Ciproterona-etinilestradiol. Gragea Cada Gragea contiene: Acetato de ciproterona 2 mg Etinilestradiol 0.035 mg Envase con 21 Grageas.,Pieza,Ciproterona-etinilestradiol
010.000.1516.00,Estradiol drospirenona. Comprimido Cada Comprimido contiene: Estradiol hemihidratado equivalente a 1 mg de estradiol Drospirenona 2 mg Envase con 28 Comprimidos.,Pieza,Estradiol drospirenona
010.000.1521.00,Clormadinona. Tableta. Cada tableta contiene: Acetato de clormadinona 2 mg Envase con 10 Tabletas.,Pieza,Clormadinona
010.000.1522.00,Hidroxiprogesterona caproato de. Solución Inyectable Cada ampolleta contiene: Caproato de hidroxiprogesterona 250 mg Envase con una ampolleta de 1 ml,Pieza,Hidroxiprogesterona caproato de
010.000.1531.00,Clomifeno. Tableta. Cada tableta contiene: Citrato de Clomifeno 50 mg Envase con 10 Tabletas.,Pieza,Clomifeno
010.000.1542.00,Oxitocina. Solución Inyectable Cada ampolleta contiene: Oxitocina: 5 UI. Envase con 50 ampolletas con 1 ml,Pieza,Oxitocina
010.000.1562.00,Nitrofural. Óvulo Cada Óvulo contiene: Nitrofural 6 mg Envase con 6 Óvul,Pieza,Nitrofural
010.000.1591.00,Inmunoglobulina anti d. Solución Inyectable Cada frasco ámpula o jeringa prellenada contiene: Inmunoglobulina anti D 0.300 mg Envase con un frasco ámpula con o sin diluyente o una jeringa o una ampolle,Pieza,Inmunoglobulina anti d
010.000.1705.00,Hierro dextrán. Solución Inyectable Cada ampolleta contiene: Hierro en forma de hierro dextrán 100 mg Envase con 3 ampolletas de 2 ,Pieza,Hierro dextran
010.000.1708.00,Hidroxocobalamina. Solución Inyectable. Cada ampolleta o frasco ámpula con solución o liofilizado contiene: Hidroxocobalamina 100 µg. Envase con 3 ampolletas de 2 ml o frasco ámpula y diluy,Pieza,Hidroxocobalamina
010.000.1714.00,Sacarato férrico. Solución Inyectable. La ampolleta contiene: Complejo de sacarato de óxido férrico equivalente a 100 mg de hierro elemental. Envase con 1 ampolleta de 5,Pieza,Sacarato ferrico
010.000.1733.00,Menadiona. Tableta Cada Tableta contiene: Menadiona 2 mg Envase con 20 Tabletas.,Pieza,Menadiona
010.000.1754.00,Clorambucilo. Tableta. Cada tableta contiene: Clorambucilo 2 mg Envase con 25 Tabletas.,Pieza,Clorambucilo
010.000.1756.00,Melfalán. Tableta Cada Tableta contiene: Melfalán 2 mg Envase con 25 Tableta,Pieza,Melfalan
010.000.1758.00,Carmustina. Solución Inyectable. Cada frasco ámpula con liofilizado contiene: Carmustina 100 mg Envase con un frasco ámpula y diluyente estéril (etanol absoluto) 3,Pieza,Carmustina
010.000.1771.00,Procarbazina. Cápsula o Comprimido Cada Cápsula o Comprimido contiene: Clorhidrato de procarbazina equivalente a 50 mg de procarbazina. Envase con 50 Cápsulas o Comprimid,Pieza,Procarbazina
010.000.1935.00,Cefotaxima. Solución Inyectable. Cada frasco ámpula con polvo contiene: Cefotaxima sódica equivalente a 1 g de cefotaxima. Envase con un frasco ámpula y 4 ml de diluye,Pieza,Cefotaxima
010.000.1937.00,Ceftriaxona. Solución Inyectable. Cada frasco ámpula con polvo contiene: Ceftriaxona sódica equivalente a 1 g de ceftriaxona. Envase con un frasco ámpula y 10 ml de diluye,Pieza,Ceftriaxona
010.000.1938.00,Bencilpenicilina benzatínica compuesta. Suspensión Inyectable Cada frasco ámpula con polvo contiene: Benzatina bencilpenicilina equivalente a 600 000 UI de bencilpenicilina Bencilpenicilina procaínica equivalente a 300 000 UI de bencilpenicilina Bencilpenicilina cristalina equivalente a 300 000 UI de bencilpenicilina Envase con un frasco ámpula y diluyente con ,Pieza,Bencilpenicilina benzatinica compuesta
010.000.1939.00,Cefalexina. Tableta o Cápsula. Cada tableta o cápsula contiene: Cefalexina monohidratada equivalente a 500 mg de cefalexina. Envase con 20 Tabletas o Cápsul,Pieza,Cefalexina
010.000.1951.00,Kanamicina. Solución Inyectable Cada frasco ámpula contiene: Sulfato de kanamicina 1 g Envase con un frasco ámpu,Pieza,Kanamicina
010.000.1981.00,Tetraciclina. Tableta o Cápsula Cada Tableta o Cápsula contiene: Clorhidrato de tetraciclina 250 mg Envase con 10 Tabletas o Cápsul,Pieza,Tetraciclina
010.000.2012.00,Amfotericina B o Anfotericina B. Solución Inyectable. Cada frasco ámpula con polvo contiene: Amfotericina B o Anfotericina B 50 mg. Envase con un frasco ámpu,Pieza,Amfotericina b o anfotericina b
010.000.2016.00,Ketoconazol. Tableta Cada Tableta contiene: Ketoconazol 200 mg Envase con 10 Tabletas.,Pieza,Ketoconazol
010.000.2018.00,Itraconazol. Cápsula Cada Cápsula contiene: Itraconazol 100 mg Envase con 15 Cápsul,Pieza,Itraconazol
010.000.2024.00,Isoconazol. Crema Cada 100 gramos contiene: Nitrato de isoconazol 1 g Envase con 20 g.,Pieza,Isoconazol
010.000.2034.00,Quinina. Tableta Cada Tableta contiene: Sulfato de quinina 300 mg Envase con 30 Tabletas.,Pieza,Quinina
010.000.2042.00,Tinidazol. Tableta Cada Tableta contiene: Tinidazol 500 mg Envase con 8 Tabletas.,Pieza,Tinidazol
010.000.2101.00,Clonidina. Comprimido. Cada comprimido contiene: Clorhidrato de clonidina 0.1 mg Envase con 30 Comprimidos.,Pieza,Clonidina
010.000.2112.00,Diltiazem. Tableta o gragea. Cada tableta contiene: Clorhidrato de diltiazem 30 mg. Envase con 30 tabletas o grageas.,Pieza,Diltiazem
010.000.2114.00,Felodipino. Tableta de Liberación Prolongada Cada Tableta contiene: Felodipino 5 mg Envase con 10 Tabletas de Liberación Prolongad,Pieza,Felodipino
010.000.2115.00,Isoprenalina. Solución Inyectable Cada ml contiene: Clorhidrato de isoprenalina 0.2 mg Envase con 2 ml,Pieza,Isoprenalina
010.000.2120.00,Higroplex. Crema Higroplex (complejo humectante). Envase con 80 g.,Pieza,Higroplex
010.000.2123.00,Mupirocina. Ungüento Cada 100 gramos contiene: Mupirocina 2 g Envase con 15 g,Pieza,Mupirocina
010.000.2124.00,Padimato parsol mcx y parsol 1789. Crema Padimato parsol MCX y parsol 1789 Envase con 125 g.,Pieza,Padimato parsol mcx y parsol 1789
010.000.2125.00,Glucagon. Solución Inyectable Cada ampolleta contiene: Glucagon 1 mg Envase con una ampolleta,Pieza,Glucagon
010.000.2136.00,Mebendazol. Tableta Cada Tableta contiene: Mebendazol 100 mg Envase con 6 Tabletas.,Pieza,Mebendazol
010.000.2137.00,Oxitetraciclina. Solución Inyectable Cada ampolleta contiene: oxitetraciclina 100 mg Lidocaína al 2%. Envase con 3 ampolletas con 2 m,Pieza,Oxitetraciclina
010.000.2138.00,Pirantel. Tableta Cada Tableta contiene: Pamoato de pirantel 250 mg Envase con 6 Tabletas.,Pieza,Pirantel
010.000.2140.00,Roxitromicina. Comprimido Cada Comprimido contiene: Roxitromicina 150 mg Envase con 10 Comprimidos.,Pieza,Roxitromicina
010.000.2150.00,Plántago ovata - senósidos a y b. Granulado Cada 100 g contienen: Plántago ovata 54.2 g Concentrado de Sen 12.4 g (equivalente a: Senósidos A y B 300 mg Envase con 10,Pieza,Plantago ovata - senosidos a y b
010.000.2153.00,Betametasona acetato de y betametasona fosfato disódico de. Suspensión Inyectable Cada ampolleta contiene: Acetato de betametasona equivalente a 2.71 mg de betametasona. Fosfato sódico de betametasona equivalente a 3 mg de betametasona. Envase con una ampolleta de 1 ,Pieza,Betametasona acetato de y betametasona fosfato disodico de
010.000.2167.00,Leche descremada. Polvo. Cada 100 g contienen: Proteinas 35.3 g. Hidratos de Carbono 51.7 g. Grasa 1.0 g. Envase con 400 a 500 g.,Pieza,Leche descremada
010.000.2168.00,Aminoacidos esenciales sin electrolitos. Solucion Inyectable Al 8.5%. Cada 100 ml contienen en miligramos: Aminoácidos esenciales L-fenilalanina Mínimo 380 Máximo 720. L-isoleucina Mínimo 400 Máximo 620. L-leucina Mínimo 520 Máximo 810. L-lisina Mínimo 490 Máximo 870. L-metionina Mínimo 250 Máximo 500. L-treonina Mínimo 340 Máximo 460. L-triptofano Mínimo 130 Máximo 160. L-valina Mínimo 390 Máximo 680. Aminoácidos no esenciales: Acido L-aspártico.Mínimo 0 Máximo 410. Acido L-glutámico Mínimo 0 Máximo 710. Glicina (ácido amino acético) Mínimo 460 Máximo 1760. L-alanina Mínimo 390 Máximo 1760. L-arginina Mínimo 430 Máximo 880. L-cisteína Mínimo 20 Máximo 80. L-histidina Mínimo 240 Máximo 380. L-prolina Mínimo 350 Máximo 1000. L-serina Mínimo 370 Máximo 930. L-tirosina Mínimo 30 Máximo 50. Pirosulfito de sodio Mínimo 0 Máximo 50. Metabisulfito de potasio agregado Mínimo 0 Máximo 60. Pueden o no venir en la fórmula lo cual no modifica el efecto terapéutico deseado. ml de aminoácidos cristalinos con equipo de administració,Pieza,Aminoacidos esenciales sin electrolitos
010.000.2172.00,Alcohol polivinílico. Solución Oftálmica Cada ml contiene: alcohol polivinílico 14 mg Envase con gotero integral con 15,Pieza,Alcohol polivinilico
010.000.2173.00,Betaxolol. Solución Oftálmica Cada ml contiene: Clorhidrato de betaxolol 0.5 mg Envase con gotero integral con 5 m,Pieza,Betaxolol
010.000.2175.00,Cloranfenicol-sulfacetamida sódica. Suspensión Oftálmica Cada 100 ml contiene: Cloranfenicol levógiro 0.5 g Sulfacetamida sódica 10 g Envase con gotero integral con ,Pieza,Cloranfenicol-sulfacetamida sodica
010.000.2177.00,Dipivefrina. Solución Oftálmica. Cada ml contiene: Clorhidrato de dipivefrina 0.1 g Envase con gotero integral con 10 m,Pieza,Dipivefrina
010.000.2178.00,Feniramina-nafazolina. Solución Oftálmica Cada 100 ml contienen: Feniramina 0.300 g Clorhidrato de nafazolina 0.016 g Envase con gotero integral con 30 m,Pieza,Feniramina-nafazolina
010.000.2179.00,Fluorometalona. Solución Oftálmica Cada 100 ml contienen: Fluorometalona 100 mg Envase con gotero integral con 5 m,Pieza,Fluorometalona
010.000.2180.00,Levobunolol-alcohol polivinílico. Solución Oftálmica Cada 100 ml contienen: Clorhidrato de levobunolol 0.5 g alcohol polivinílico 1.4 g Envase con gotero integral con10,Pieza,Levobunolol-alcohol polivinilico
010.000.2181.00,Levocabastina. Suspensión Oftálmica Cada 100 ml contienen: Clorhidrato de levocabastina 50 mg Envase con gotero integral con 5 m,Pieza,Levocabastina
010.000.2182.00,Levoepinefrina. Solución Oftálmica Cada 100 ml contiene: Levoepinefrina 0.200 g Envase con gotero integral con 5 m,Pieza,Levoepinefrina
010.000.2183.00,Medrisona. Solución Oftálmica Cada ml contiene: Medrisona 1.0 g Envase con gotero integral con 5 m,Pieza,Medrisona
010.000.2184.00,Norfloxacino. Solución Oftálmica Cada100 ml contiene: Norfloxacino 0.3 g Envase con gotero integral con 5 m,Pieza,Norfloxacino
010.000.2191.00,Vitamina A. Cápsula. Cada Cápsula contiene: Vitamina A 50 000 UI. Envase con 40 Cápsul,Pieza,Vitamina a
010.000.2193.00,Glicofosfopéptical. Cápsula Cada Cápsula contiene: Glicofosfopéptical 500 mg Envase con 45 Cáps,Pieza,Glicofosfopeptical
010.000.2202.00,Penicilamina. Tableta Cada Tableta contiene: Penicilamina 300 mg Envase con 50 Tabletas.,Pieza,Penicilamina
010.000.2212.00,Desogestrel. Tableta. Cada tableta contiene: desogestrel 0.075 mg Envase con 28 Tabletas.,Pieza,Desogestrel
010.000.2231.00,Metiltionino cloruro de (azul de metileno). Solución Inyectable Cada ampolleta contiene: Cloruro de metiltionino trihidratado 100 mg Envase con una 1 ampolleta con 10 ml,Pieza,Metiltionino cloruro de (azul de metileno)
010.000.2242.00,Carbón activado. Polvo. Cada envase contiene: Carbón activado 1 kg Envase con un kg. (para uso en seres humanos,Pieza,Carbon activado
010.000.2301.00,Hidroclorotiazida. Tableta Cada Tableta contiene: Hidroclorotiazida 25 mg Envase con 20 Tabletas.,Pieza,Hidroclorotiazida
010.000.2306.00,Manitol. Solución Inyectable al 20% Cada envase contiene: Manitol 50 g Envase con 250 ml,Pieza,Manitol
010.000.2322.00,�cido nalid�xico. Tableta Cada Tableta contiene: �cido nalid�xico 500 mg Envase con 30 Tabletas.,Pieza,Acido nalidixico
010.000.2331.00,Fenazopiridina. Tableta Cada Tableta contiene: Clorhidrato de fenazopiridina 100 mg Envase con 20 Tabletas.,Pieza,Fenazopiridina
010.000.2333.00,Metenamina. Tableta Cada Tableta contiene: Hipurato de metenamina 500 mg Envase con 30 Tabletas,Pieza,Metenamina
010.000.2343.00,Solución Para Diálisis Peritoneal al 4.25% Cada 100 ml contienen: Glucosa monohidratada 4.25 g Cloruro de sodio: 567 mg Cloruro de calcio dihidratado: 25.7 mg Cloruro de magnesio Hexahidratado 15.2 mg Lactato de sodio 392 mg Agua Inyectable c.b.p. 100 ml pH 5.0-5.6 Miliequivalentes por litro: Sodio 132 Calcio 3.5 Magnesio 1.5 Cloruro 102 Lactato 35 Miliosmoles aproximados por litro 486. Envase con bolsa de 1000 m,Pieza,Solucion para dialisis peritoneal al 4
010.000.2403.00,Estreptomicina. Solución Inyectable El frasco ámpula con polvo contiene: Sulfato de estreptomicina equivalente a 1 g de estreptomicina. Envase con un frasco ámpula y diluyente con 2 ,Pieza,Estreptomicina
010.000.2404.00,Isoniazida. Tableta Cada Tableta contiene: Isoniazida: 100 mg Envase con 200 Tabletas.,Pieza,Isoniazida
010.000.2405.00,Etambutol. Tableta Cada Tabletas contiene: Clorhidrato de etambutol 400 mg Envase con 50 Tabletas.,Pieza,Etambutol
010.000.2413.00,Pirazinamida. Tableta Cada Tableta contiene: Pirazinamida 500 mg Envase con 50 Tabletas.,Pieza,Pirazinamida
010.000.2414.00,Rifampicina-isoniazida-pirazinamida. Tableta o Gragea Cada Tableta o Gragea contiene: Rifampicina 150 mg Isoniazida 75 mg Pirazinamida 400 mg Envase con 240 Tabletas o Grageas.,Pieza,Rifampicina-isoniazida-pirazinamida
010.000.2416.00,Isoniazida y etambutol. Comprimido o Gragea Cada Comprimido o Gragea contiene: Isoniazida 100 mg Clorhidrato de etambutol 300 mg Envase con 100 Comprimidos o Grageas.,Pieza,Isoniazida y etambutol
010.000.2418.00,Isoniazida rifampicina pirazinamida etambutol. Tableta Cada Tableta contiene: Isoniazida 75 mg Rifampicina 150 mg Pirazinamida 400 mg Clorhidrato de etambutol 300 mg Envase con 240 Tabletas.,Pieza,Isoniazida rifampicina pirazinamida etambutol
010.000.2471.00,Clorfenamina compuesta. Tableta. Cada tableta contiene Paracetamol 500 mg Cafeína 25 mg Clorhidrato de fenilefrina 5 mg Maleato de clorfenamina 4 mg Envase con 10 Tabletas,Pieza,Clorfenamina compuesta
010.000.2501.00,ENALAPRIL. CÁPSULA O TABLETA Cada cápsula o tableta contiene: Maleato de enalapril 10 mg. Envase con 30 cápsulas o tablet,Pieza,Enalapril
010.000.2504.00,Ketoprofeno. Cápsula Cada Cápsula contiene: Ketoprofeno 100 mg Envase con 15 Cápsul,Pieza,Ketoprofeno
010.000.2505.00,Sodio bicarbonato de-potasio cloruro de. Tableta Efervescente Cada Tableta contiene: Bicarbonato de sodio 500 mg Cloruro de Potasio 375 mg Envase con 30 Tabletas.,Pieza,Sodio bicarbonato de-potasio cloruro de
010.000.2508.00,Beclometasona Dipropionato de. Suspensión en aerosol. Cada Inhalación contiene: Dipropionato de Beclometasona 250 µg Envase con dispositivo inhalador para 200 do,Pieza,Beclometasona dipropionato de
010.000.2510.00,Bencilpenicilina procaínica. Suspensión Inyectable Cada frasco ámpula con polvo contiene: Bencilpenicilina procaínica equivalente a 2 400 000 UI de bencilpenicilina. Envase con un frasco ámpula con diluy,Pieza,Bencilpenicilina procainica
010.000.2513.00,Terazosina. Tableta Cada Tableta contiene: Clorhidrato de terazosina equivalente a 2 mg de terazosina Envase con 20 Tabletas.,Pieza,Terazosina
010.000.2520.00,Losartán. Gragea o comprimido recubierto. Cada gragea o comprimido recubierto contiene: Losartán potásico 50 mg. Envase con 30 grageas o comprimidos recubiert,Pieza,Losartan
010.000.2521.00,Losartán e hidroclorotiazida. Gragea o Comprimido Recubierto Cada Gragea o Comprimido Recubierto contiene: Losartán potásico 50.0 mg Hidroclorotiazida 12.5 mg Envase con 30 Grageas o Comprimidos Recubiert,Pieza,Losartan e hidroclorotiazida
010.000.2530.00,Candesartán cilexetilo-hidroclorotiazida. Tableta Cada Tableta contiene: Candesartán Cilexetilo 16.0 mg Hidroclorotiazida 12.5 mg Envase con 28 Tableta,Pieza,Candesartan cilexetilo-hidroclorotiazida
010.000.2540.00,Telmisartán. Tableta Cada Tableta contiene: Telmisartán 40 mg Envase con 30 Tableta,Pieza,Telmisartan
010.000.2542.00,Telmisartán hidroclorotiazida. Tableta o cápsula. Cada Tableta o cápsula contiene: Telmisartán 80.0 mg Hidroclorotiazida 12.5 mg Envase con 14 Tabletas o cáps,Pieza,Telmisartan hidroclorotiazida
010.000.2620.00,�cido valproico. C�psula Cada C�psula contiene: �cido valproico 250 mg Envase con 60 C�psulas.,Pieza,Acido valproico
010.000.2655.00,Entacapona levodopa carbidopa. Tableta Cada Tableta contiene: Entacapona 200 mg Levodopa 50 mg Carbidopa monohidratada equivalente a 12.5 mg de carbidopa Envase con 30 Tabletas.,Pieza,Entacapona levodopa carbidopa
